,nav
20240102,1.0
20240103,1.002614799886942
20240104,1.0007812177520385
20240105,0.9931614692498933
20240108,0.9817688145694784
20240109,0.9804091628714867
20240110,0.9773271486708444
20240111,0.9794670064868449
20240112,0.9787202606852204
20240115,0.9843563185698033
20240116,0.9906361178276972
20240117,0.9755136616406378
20240118,0.9757724653983478
20240119,0.9705006594563966
20240122,0.9555128300102991
20240123,0.9607832479870229
20240124,0.9758215231018513
20240125,0.9952208554708528
20240126,0.9993108147278302
20240129,0.9999937435873595
20240130,0.9825810521871791
20240131,0.9738525876087525
20240201,0.9749039585918848
20240202,0.967708484745317
20240205,0.9709078263576585
20240206,0.9990593962705813
20240207,1.0184283610722509
20240208,1.0374292802931744
20240219,1.0513226370725801
20240220,1.058491817137346
20240221,1.0708835813003803
20240222,1.0809072655776517
20240223,1.0829284538604451
20240226,1.079931774117229
20240227,1.0955032023890545
20240228,1.0739590391765945
20240229,1.0954423003054028
20240301,1.1070342717662491
20240304,1.1000894018921452
20240305,1.1029960579588356
20240306,1.0960937293159172
20240307,1.0917357698676204
20240308,1.0967981487973253
20240311,1.114646346398625
20240312,1.1159789060013203
20240313,1.123709737639119
20240314,1.1103462442147949
20240315,1.1136081085249565
20240318,1.1228242179104957
20240319,1.1134465005889074
20240320,1.1115619921659088
20240321,1.1025249921645228
20240322,1.084604330802077
20240325,1.08069151247511
20240326,1.0866005179846974
20240327,1.076055494501918
20240328,1.0662401451216672
20240329,1.0731696397114345
20240401,1.0971492924256598
20240402,1.0964539191459302
20240403,1.100015311050724
20240408,1.0975723966307165
20240409,1.0994499042134933
20240410,1.0984464363245867
20240411,1.0991125343284083
20240412,1.0877459515774115
20240415,1.1079574676696544
20240416,1.0962270789698385
20240417,1.119371283171592
20240418,1.1200235409633648
20240419,1.1129896806323574
20240422,1.1105610258856482
20240423,1.103618241942117
20240424,1.1106749977345287
20240425,1.114196837136853
20240426,1.1269260904858713
20240429,1.1425272554804407
20240430,1.1560639182642447
20240506,1.1821469149956394
20240507,1.1814463747667343
20240508,1.175119847677196
20240509,1.1832473284478455
20240510,1.177537568102652
20240513,1.1758793598215906
20240514,1.165749158932772
20240515,1.1648085161023067
20240516,1.1621642838176431
20240517,1.1671897147270052
20240520,1.1653147410236857
20240521,1.1607829486134398
20240522,1.1744175035444153
20240523,1.1624854216338534
20240524,1.1625026264412572
20240527,1.1795143414182723
20240528,1.1745810223325373
20240529,1.1757841456733589
20240530,1.1698964067650355
20240531,1.1662745242755002
20240603,1.1752107522795123
20240604,1.183711756932526
20240605,1.1881763630759274
20240606,1.2022487685285965
20240607,1.191058718339702
20240611,1.187590950682228
20240612,1.1864348309367145
20240613,1.1808489769783266
20240614,1.1861202868089888
20240617,1.1847396429145967
20240618,1.202796854377248
20240619,1.1859295541958275
20240620,1.1763286250600056
20240621,1.1772705115095305
20240624,1.1679717228348598
20240625,1.1759952215624505
20240626,1.1811584286065175
20240627,1.1704632757819404
20240628,1.1836352013125635
20240701,1.2058135665285816
20240702,1.1943136021313219
20240703,1.1799885269882682
20240704,1.173826744823081
20240705,1.1706699729816108
20240708,1.1501971798548185
20240709,1.1619210235776114
20240710,1.1494596522416478
20240711,1.1650225305857713
20240712,1.1683605530599794
20240715,1.1605803240412356
20240716,1.1652703461777552
20240717,1.1788840838044352
20240718,1.1966132015476973
20240719,1.1972783987373259
20240722,1.1887018143012706
20240723,1.156117003792422
20240724,1.1514439788120652
20240725,1.144820182411978
20240726,1.162885788224258
20240729,1.1514634585244958
20240730,1.1390413557714956
20240731,1.1773708989687284
20240801,1.172494229401494
20240802,1.1632324623470487
20240805,1.152949138244093
20240806,1.159553922770892
20240807,1.1716704490992926
20240808,1.184161158991915
20240809,1.1821802942858668
20240812,1.1920150897106556
20240813,1.1952354372199485
20240814,1.183176348751638
20240815,1.1879121303778872
20240816,1.1929967510796964
20240819,1.2088290123562124
20240820,1.2025970153778724
20240821,1.194025504983393
20240822,1.191030769746424
20240823,1.1917413387067624
20240826,1.1972021361065768
20240827,1.213841928611196
20240828,1.2098276320664771
20240829,1.1962711507943613
20240830,1.1883679863950618
20240902,1.1981145053345694
20240903,1.1970683121510104
20240904,1.1961943326802162
20240905,1.1931793246055604
20240906,1.1939214821015403
20240909,1.1847230328886875
20240910,1.1915805648891047
20240911,1.176555330343999
20240912,1.176117063638977
20240913,1.1845240666435832
20240918,1.1949967997279207
20240919,1.1945289583963516
20240920,1.1926847251397903
20240923,1.1992629777076735
20240924,1.2449045299697934
20240925,1.2519111013742572
20240926,1.2851944120923489
20240927,1.3424864513100836
20240930,1.4750635634911868
20241008,1.5546419137595224
20241009,1.483665830294427
20241010,1.4851273890605468
20241011,1.438538794896636
20241014,1.4674757198005044
20241015,1.4368666724805221
20241016,1.4266915014426593
20241017,1.4177283127615312
20241018,1.4651581325949472
20241021,1.4903477159980176
20241022,1.4896398010812308
20241023,1.5036936590087497
20241024,1.4895494649506245
20241025,1.5003865327584602
20241028,1.5260440406946703
20241029,1.5121126327327454
20241030,1.4976808790369247
20241031,1.495418631929869
20241101,1.4889506474540777
20241104,1.5171671558573392
20241105,1.5520577502900392
20241106,1.5364916973150127
20241107,1.556302454148038
20241108,1.554017646148131
20241111,1.5703725953954228
20241112,1.5560906839009303
20241113,1.5694151779473475
20241114,1.5333250628875141
20241115,1.5253375130426339
20241118,1.524693209921617
20241119,1.5405750237970215
20241120,1.5476744564718408
20241121,1.5492956457379354
20241122,1.4916135105547677
20241125,1.48624504464504
20241126,1.489817977601014
20241127,1.5197589973532428
20241128,1.5141855853820383
20241129,1.5309392912109938
20241202,1.540306955145413
20241203,1.553046524650606
20241204,1.5418038661876967
20241205,1.536993900836267
20241206,1.5679910703990416
20241209,1.5731693610933835
20241210,1.577029603796584
20241211,1.5661939906490698
20241212,1.5814346248252087
20241213,1.5561032057954185
20241216,1.5504377452188596
20241217,1.5468675519314448
20241218,1.5647705332796553
20241219,1.5479672442916261
20241220,1.5350474458365717
20241223,1.5428215392728335
20241224,1.5649403530671142
20241225,1.5638340965972777
20241226,1.558094825090035
20241227,1.5617854842898788
20241230,1.5693115723955067
20241231,1.5614830617467235
20250102,1.530928272420268
20250103,1.5202200416146106
20250106,1.520472093826673
20250107,1.5311266486210895
20250108,1.5407456466196365
20250109,1.5272803010036249
20250110,1.5166510411605958
20250113,1.514076677855735
20250114,1.5370309883193294
20250115,1.5371530284019228
20250116,1.5431325541185243
20250117,1.5381345019362973
20250120,1.5350010148215216
20250121,1.5278135256647176
20250122,1.5117224397846023
20250123,1.5319477744989463
20250124,1.5386456031801972
20250127,1.542555762395598
20250205,1.5145168830875118
20250206,1.5260061598244015
20250207,1.549281720603549
20250210,1.5447999582235432
20250211,1.5430422852948396
20250212,1.5566775313131915
20250213,1.5558190238227527
20250214,1.5630545161709544
20250217,1.5656410591913952
20250218,1.565542580894758
20250219,1.5687198498808135
20250220,1.5618780352607757
20250221,1.5751933581808637
20250224,1.5780206728129633
20250225,1.561869316088473
20250226,1.5794787685067668
20250227,1.603199697340537
20250228,1.5810959031239586
20250303,1.5871280997616073
20250304,1.576734473358066
20250305,1.583860366697328
20250306,1.592965504604998
20250307,1.589730828699748
20250310,1.58444449705245
20250311,1.5945169689442764
20250312,1.591119213036256
20250313,1.5894375593012013
20250314,1.622240212129691
20250317,1.6236638901213598
20250318,1.627305444003921
20250319,1.6416008344390123
20250320,1.632269810985841
20250321,1.6201479213696792
20250324,1.635741197718702
20250325,1.642054014756895
20250326,1.6251626977553195
20250327,1.629910447887038
20250328,1.6230969331610818
20250331,1.618322917512053
20250401,1.6238488424454585
20250402,1.6144108703694027
20250403,1.6123867222064687
20250407,1.516305076895945
20250408,1.5490819831908886
20250409,1.5393704780511257
20250410,1.5641020039444988
20250411,1.5693049890020065
20250414,1.585242850522131
20250415,1.5839767169206018
20250416,1.5763598478002854
20250417,1.575713067247029
20250418,1.5849309884403626
20250421,1.5827635948624617
20250422,1.5833343392463803
20250423,1.5798152204590228
20250424,1.5882639136871506
20250425,1.5886862331342777
20250428,1.5908673402415598
20250429,1.5805494509668216
20250430,1.5746781839266333
20250506,1.578489220489082
20250507,1.581135872569319
20250508,1.5834413268534762
20250509,1.5836389401537203
20250512,1.5915101007959198
20250513,1.5967826149219935
20250514,1.6093041062520208
20250515,1.6115849738428625
20250516,1.6031570286776065
20250519,1.6035260757628376
20250520,1.6174831684644515
20250521,1.6240671335591927
20250522,1.6234160450978965
20250523,1.6095679792928281
20250526,1.6016460076263803
20250527,1.597586155364249
20250528,1.6022487097948914
20250529,1.6096701659600003
20250530,1.6023086621151397
20250603,1.60336426270561
20250604,1.604966184192303
20250605,1.6140212436590131
20250606,1.6176876548010355
20250609,1.6152925068655353
20250610,1.615879342024527
20250611,1.6179174507325118
20250612,1.6094004100046448
