,nav
20240102,1.0
20240103,1.0026148557662964
20240104,1.0007812976837158
20240105,0.9931615591049194
20240108,0.9817689061164856
20240109,0.9804092645645142
20240110,0.9773272275924683
20240111,0.9794670939445496
20240112,0.9787203669548035
20240115,0.9840079545974731
20240116,0.9882255792617798
20240117,0.9749112725257874
20240118,0.9719385504722595
20240119,0.9667704701423645
20240122,0.9537307620048523
20240123,0.9578120112419128
20240124,0.973599374294281
20240125,1.0070303678512573
20240126,1.0080597400665283
20240129,1.0076984167099
20240130,0.9893333315849304
20240131,0.9800419211387634
20240201,0.9838896989822388
20240202,0.9708006381988525
20240205,0.9629157185554504
20240206,0.9965635538101196
20240207,1.022426724433899
20240208,1.0463509559631348
20240219,1.056748390197754
20240220,1.060800313949585
20240221,1.0724395513534546
20240222,1.083815097808838
20240223,1.089266300201416
20240226,1.0860834121704102
20240227,1.10514497756958
20240228,1.0772053003311157
20240229,1.098366379737854
20240301,1.1135244369506836
20240304,1.1062006950378418
20240305,1.1055264472961426
20240306,1.0985393524169922
20240307,1.0905159711837769
20240308,1.0978114604949951
20240311,1.121045470237732
20240312,1.1215265989303589
20240313,1.1309521198272705
20240314,1.1188433170318604
20240315,1.1223475933074951
20240318,1.1319199800491333
20240319,1.1251444816589355
20240320,1.1262485980987549
20240321,1.1185179948806763
20240322,1.1015069484710693
20240325,1.0936851501464844
20240326,1.0964709520339966
20240327,1.0766428709030151
20240328,1.0690916776657104
20240329,1.0741009712219238
20240401,1.0996018648147583
20240402,1.0945987701416016
20240403,1.098218321800232
20240408,1.0882707834243774
20240409,1.090227484703064
20240410,1.0869618654251099
20240411,1.0893932580947876
20240412,1.0779786109924316
20240415,1.0967085361480713
20240416,1.0848791599273682
20240417,1.107467770576477
20240418,1.1083117723464966
20240419,1.0984630584716797
20240422,1.0976465940475464
20240423,1.090134859085083
20240424,1.0955027341842651
20240425,1.0992518663406372
20240426,1.1013939380645752
20240429,1.1191829442977905
20240430,1.1266783475875854
20240506,1.1510852575302124
20240507,1.1495438814163208
20240508,1.1403826475143433
20240509,1.1513108015060425
20240510,1.1433391571044922
20240513,1.1398663520812988
20240514,1.1299015283584595
20240515,1.1245287656784058
20240516,1.1233187913894653
20240517,1.1301792860031128
20240520,1.1253670454025269
20240521,1.1142919063568115
20240522,1.1117486953735352
20240523,1.0976181030273438
20240524,1.1113492250442505
20240527,1.125346302986145
20240528,1.12619149684906
20240529,1.1330502033233643
20240530,1.124046802520752
20240531,1.122952938079834
20240603,1.1263161897659302
20240604,1.1374505758285522
20240605,1.1329203844070435
20240606,1.137431263923645
20240607,1.1297646760940552
20240611,1.1290843486785889
20240612,1.1294481754302979
20240613,1.1222467422485352
20240614,1.132175087928772
20240617,1.1286742687225342
20240618,1.1505450010299683
20240619,1.1319814920425415
20240620,1.119931936264038
20240621,1.1190277338027954
20240624,1.1048123836517334
20240625,1.1105223894119263
20240626,1.1169493198394775
20240627,1.1035822629928589
20240628,1.1153429746627808
20240701,1.13489830493927
20240702,1.1318669319152832
20240703,1.1167018413543701
20240704,1.1141799688339233
20240705,1.1096845865249634
20240708,1.0870217084884644
20240709,1.0987417697906494
20240710,1.0889157056808472
20240711,1.1059669256210327
20240712,1.1070566177368164
20240715,1.095949411392212
20240716,1.1016361713409424
20240717,1.111720323562622
20240718,1.1294947862625122
20240719,1.1307133436203003
20240722,1.1226567029953003
20240723,1.0906517505645752
20240724,1.084763765335083
20240725,1.0808546543121338
20240726,1.0972590446472168
20240729,1.0880740880966187
20240730,1.0744177103042603
20240731,1.1101244688034058
20240801,1.1051934957504272
20240802,1.0928082466125488
20240805,1.0813448429107666
20240806,1.08870267868042
20240807,1.099185824394226
20240808,1.102256417274475
20240809,1.1031553745269775
20240812,1.1123638153076172
20240813,1.1148890256881714
20240814,1.1028199195861816
20240815,1.1092157363891602
20240816,1.1150225400924683
20240819,1.1279072761535645
20240820,1.118958592414856
20240821,1.1123594045639038
20240822,1.1089131832122803
20240823,1.1108949184417725
20240826,1.117872953414917
20240827,1.1310796737670898
20240828,1.13113534450531
20240829,1.1308053731918335
20240830,1.1182574033737183
20240902,1.125114917755127
20240903,1.1237200498580933
20240904,1.1244745254516602
20240905,1.1229737997055054
20240906,1.1266911029815674
20240909,1.1166390180587769
20240910,1.1270496845245361
20240911,1.1125986576080322
20240912,1.1134719848632812
20240913,1.1204636096954346
20240918,1.1257169246673584
20240919,1.126238465309143
20240920,1.1240233182907104
20240923,1.1282356977462769
20240924,1.1726455688476562
20240925,1.181640386581421
20240926,1.2121343612670898
20240927,1.2656763792037964
20240930,1.4093950986862183
20241008,1.514583945274353
20241009,1.4280411005020142
20241010,1.4259437322616577
20241011,1.3708209991455078
20241014,1.4051498174667358
20241015,1.3739114999771118
20241016,1.3631494045257568
20241017,1.3559315204620361
20241018,1.4005587100982666
20241021,1.4222102165222168
20241022,1.4253360033035278
20241023,1.4362945556640625
20241024,1.4206585884094238
20241025,1.4439795017242432
20241028,1.4647215604782104
20241029,1.4470285177230835
20241030,1.4337495565414429
20241031,1.4306737184524536
20241101,1.4136900901794434
20241104,1.4374771118164062
20241105,1.4861570596694946
20241106,1.4749835729599
20241107,1.491416335105896
20241108,1.4929819107055664
20241111,1.5425935983657837
20241112,1.53359055519104
20241113,1.5310314893722534
20241114,1.4933562278747559
20241115,1.481995701789856
20241118,1.4811443090438843
20241119,1.504325270652771
20241120,1.51580810546875
20241121,1.510952115058899
20241122,1.452412724494934
20241125,1.4464199542999268
20241126,1.4468281269073486
20241127,1.4712105989456177
20241128,1.4613075256347656
20241129,1.4746865034103394
20241202,1.484830617904663
20241203,1.499368667602539
20241204,1.4861347675323486
20241205,1.4825330972671509
20241206,1.5121480226516724
20241209,1.5174614191055298
20241210,1.5226250886917114
20241211,1.5161241292953491
20241212,1.5332555770874023
20241213,1.5016452074050903
20241216,1.4939686059951782
20241217,1.4867957830429077
20241218,1.5046130418777466
20241219,1.4895838499069214
20241220,1.4790031909942627
20241223,1.4795522689819336
20241224,1.5026004314422607
20241225,1.4987441301345825
20241226,1.497286319732666
20241227,1.4963135719299316
20241230,1.5054124593734741
20241231,1.493818998336792
20250102,1.4606282711029053
20250103,1.4434586763381958
20250106,1.4439356327056885
20250107,1.4562242031097412
20250108,1.4602792263031006
20250109,1.4466097354888916
20250110,1.4339860677719116
20250113,1.431165099143982
20250114,1.45670485496521
20250115,1.4516119956970215
20250116,1.4569369554519653
20250117,1.4537988901138306
20250120,1.4496806859970093
20250121,1.4431425333023071
20250122,1.429805874824524
20250123,1.4455811977386475
20250124,1.4574990272521973
20250127,1.4502650499343872
20250205,1.4372639656066895
20250206,1.4535835981369019
20250207,1.4762976169586182
20250210,1.4799096584320068
20250211,1.4723559617996216
20250212,1.4953011274337769
20250213,1.4928784370422363
20250214,1.5104293823242188
20250217,1.5080245733261108
20250218,1.5092467069625854
20250219,1.5139434337615967
20250220,1.5067193508148193
20250221,1.521804690361023
20250224,1.5250909328460693
20250225,1.511574149131775
20250226,1.5292702913284302
20250227,1.5502045154571533
20250228,1.5278234481811523
20250303,1.5318962335586548
20250304,1.527734398841858
20250305,1.5346161127090454
20250306,1.5429062843322754
20250307,1.5364525318145752
20250310,1.532701849937439
20250311,1.5446982383728027
20250312,1.5420812368392944
20250313,1.540592908859253
20250314,1.5720711946487427
20250317,1.57322359085083
20250318,1.5795085430145264
20250319,1.589559555053711
20250320,1.5778110027313232
20250321,1.5620003938674927
20250324,1.5712088346481323
20250325,1.572200059890747
20250326,1.5599653720855713
20250327,1.5629346370697021
20250328,1.5565648078918457
20250331,1.5544371604919434
20250401,1.5607963800430298
20250402,1.5629003047943115
20250403,1.5610246658325195
20250407,1.4476048946380615
20250408,1.4823638200759888
20250409,1.4775525331497192
20250410,1.4985066652297974
20250411,1.504077434539795
20250414,1.5256011486053467
20250415,1.526970386505127
20250416,1.515152096748352
20250417,1.5183511972427368
20250418,1.5264707803726196
20250421,1.531968116760254
20250422,1.5312507152557373
20250423,1.5270518064498901
20250424,1.5434257984161377
20250425,1.548499345779419
20250428,1.5488765239715576
20250429,1.5393247604370117
20250430,1.5280708074569702
20250506,1.5373969078063965
20250507,1.540260910987854
20250508,1.549678087234497
20250509,1.547560691833496
20250512,1.562243938446045
20250513,1.5681654214859009
20250514,1.579279899597168
20250515,1.5756787061691284
20250516,1.5697693824768066
20250519,1.5748076438903809
20250520,1.586615800857544
20250521,1.5902602672576904
20250522,1.590334177017212
20250523,1.5778107643127441
20250526,1.5728663206100464
20250527,1.563675880432129
20250528,1.5608488321304321
20250529,1.5984447002410889
20250530,1.593347191810608
20250603,1.5799808502197266
20250604,1.5808197259902954
20250605,1.5855201482772827
20250606,1.590463638305664
20250609,1.5850552320480347
20250610,1.5884580612182617
20250611,1.5911420583724976
20250612,1.5754226446151733
20250613,1.5545943975448608
20250616,1.554937481880188
20250617,1.5612565279006958
20250618,1.5663950443267822
20250619,1.5597156286239624
20250620,1.5720385313034058
20250623,1.5704225301742554
20250624,1.584084153175354
20250625,1.593994379043579
20250626,1.587723970413208
20250627,1.5754412412643433
20250630,1.5717562437057495
20250701,1.575437307357788
20250702,1.5752789974212646
20250703,1.5679363012313843
20250704,1.576244592666626
20250707,1.5734251737594604
20250708,1.579423189163208
20250709,1.5800520181655884
20250710,1.5974267721176147
20250711,1.5912936925888062
20250714,1.6017097234725952
20250715,1.5937588214874268
20250716,1.6010220050811768
20250717,1.6152658462524414
20250718,1.6094574928283691
20250721,1.6500271558761597
20250722,1.6523971557617188
20250723,1.6421619653701782
20250724,1.6608996391296387
20250725,1.6617144346237183
20250728,1.6652321815490723
20250729,1.6652613878250122
20250730,1.6690105199813843
20250731,1.6442540884017944
20250801,1.647765040397644
20250804,1.6523131132125854
20250805,1.6736102104187012
20250806,1.6844583749771118
20250807,1.6760865449905396
20250808,1.6862516403198242
20250811,1.7042067050933838
20250812,1.7098631858825684
20250813,1.70989990234375
20250814,1.6936206817626953
20250815,1.7231082916259766
20250818,1.7378308773040771
20250819,1.7268447875976562
20250820,1.7607760429382324
20250821,1.7671563625335693
20250822,1.7905633449554443
20250825,1.8013262748718262
20250826,1.81905198097229
20250827,1.7829769849777222
20250828,1.8123010396957397
20250829,1.8209930658340454
20250901,1.814557671546936
20250902,1.7947524785995483
20250903,1.777832269668579
20250904,1.7873708009719849
20250905,1.8014404773712158
20250908,1.8145276308059692
20250909,1.8073203563690186
20250910,1.8058216571807861
20250911,1.8320106267929077
20250912,1.8295280933380127
20250915,1.8279045820236206
20250916,1.8326531648635864
20250917,1.8546119928359985
20250918,1.843037724494934
20250919,1.8506758213043213
20250922,1.8420647382736206
20250923,1.8386685848236084
20250924,1.8566100597381592
20250925,1.844960331916809
20250926,1.8488024473190308
20250929,1.8650476932525635
20250930,1.8666353225708008
20251009,1.897994875907898
20251010,1.895343542098999
20251013,1.8877644538879395
20251014,1.900259256362915
20251015,1.9181255102157593
20251016,1.916573405265808
20251017,1.869306206703186
20251020,1.8796942234039307
20251021,1.8953717947006226
20251022,1.8986057043075562
20251023,1.9111521244049072
20251024,1.9022618532180786
20251027,1.9074337482452393
20251028,1.9016189575195312
20251029,1.9074347019195557
20251030,1.8959412574768066
20251031,1.8885728120803833
20251103,1.9027910232543945
20251104,1.8942724466323853
20251105,1.8967766761779785
20251106,1.9285770654678345
20251107,1.9315458536148071
20251110,1.9682561159133911
20251111,1.9630792140960693
20251112,1.9679168462753296
20251113,1.9727312326431274
20251114,1.9578933715820312
20251117,1.9513932466506958
20251118,1.9332493543624878
20251119,1.931113362312317
20251120,1.925492286682129
20251121,1.8885940313339233
