,nav
20240102,1.0
20240103,0.9991958737373352
20240104,0.995805025100708
20240105,0.9849916696548462
20240108,0.9629863500595093
20240109,0.9661459922790527
20240110,0.962162971496582
20240111,0.969788134098053
20240112,0.9661993384361267
20240115,0.9588540196418762
20240116,0.95616215467453
20240117,0.9333828687667847
20240118,0.9329873323440552
20240119,0.9307904839515686
20240122,0.9026601314544678
20240123,0.9170995950698853
20240124,0.9356468915939331
20240125,0.9558699131011963
20240126,0.955642580986023
20240129,0.94163978099823
20240130,0.9292390942573547
20240131,0.9153009653091431
20240201,0.9164938926696777
20240202,0.8885142207145691
20240205,0.8716268539428711
20240206,0.9320011138916016
20240207,0.9790880680084229
20240208,0.9969114661216736
20240219,0.9973230361938477
20240220,1.0042576789855957
20240221,1.019024133682251
20240222,1.034355640411377
20240223,1.0421130657196045
20240226,1.0579463243484497
20240227,1.075527548789978
20240228,1.0469717979431152
20240229,1.0782917737960815
20240301,1.0874648094177246
20240304,1.0855305194854736
20240305,1.0902458429336548
20240306,1.0878962278366089
20240307,1.069639801979065
20240308,1.0798447132110596
20240311,1.0870710611343384
20240312,1.0899295806884766
20240313,1.108423113822937
20240314,1.0882792472839355
20240315,1.0926768779754639
20240318,1.1097153425216675
20240319,1.1001861095428467
20240320,1.1066433191299438
20240321,1.0971606969833374
20240322,1.0798234939575195
20240325,1.0609465837478638
20240326,1.0607117414474487
20240327,1.0362584590911865
20240328,1.042067289352417
20240329,1.047879695892334
20240401,1.076817512512207
20240402,1.0684995651245117
20240403,1.0715895891189575
20240408,1.0485355854034424
20240409,1.060434103012085
20240410,1.0476219654083252
20240411,1.0466910600662231
20240412,1.0394713878631592
20240415,1.0467379093170166
20240416,1.02231764793396
20240417,1.05462646484375
20240418,1.054769515991211
20240419,1.049621820449829
20240422,1.0427093505859375
20240423,1.0200549364089966
20240424,1.0234248638153076
20240425,1.0216447114944458
20240426,1.0316448211669922
20240429,1.0487608909606934
20240430,1.0464117527008057
20240506,1.0625025033950806
20240507,1.0638519525527954
20240508,1.0528700351715088
20240509,1.0717841386795044
20240510,1.0714449882507324
20240513,1.0674558877944946
20240514,1.065658688545227
20240515,1.0560961961746216
20240516,1.0546832084655762
20240517,1.068377137184143
20240520,1.0614814758300781
20240521,1.0491364002227783
20240522,1.0590962171554565
20240523,1.0386101007461548
20240524,1.0538852214813232
20240527,1.060387372970581
20240528,1.0541101694107056
20240529,1.064971923828125
20240530,1.0604565143585205
20240531,1.0670173168182373
20240603,1.0492931604385376
20240604,1.0554251670837402
20240605,1.0432342290878296
20240606,1.0217335224151611
20240607,1.0199494361877441
20240611,1.0379725694656372
20240612,1.0362138748168945
20240613,1.0328296422958374
20240614,1.031860113143921
20240617,1.036023497581482
20240618,1.0391876697540283
20240619,1.0144281387329102
20240620,1.0047160387039185
20240621,1.0010961294174194
20240624,0.9723060131072998
20240625,0.9708585739135742
20240626,0.9817472100257874
20240627,0.9584027528762817
20240628,0.9440175890922546
20240701,0.9590899348258972
20240702,0.9402890205383301
20240703,0.9285193085670471
20240704,0.9163883924484253
20240705,0.9204491376876831
20240708,0.9036189317703247
20240709,0.9179047346115112
20240710,0.9323047995567322
20240711,0.9495193958282471
20240712,0.9375151991844177
20240715,0.9199168086051941
20240716,0.9193133115768433
20240717,0.9191024303436279
20240718,0.9247912764549255
20240719,0.926823079586029
20240722,0.9217305779457092
20240723,0.8834441900253296
20240724,0.871715784072876
20240725,0.8774918913841248
20240726,0.8846915364265442
20240729,0.8705475926399231
20240730,0.8587250113487244
20240731,0.8930461406707764
20240801,0.8760753870010376
20240802,0.866959273815155
20240805,0.8483351469039917
20240806,0.8675060272216797
20240807,0.868958055973053
20240808,0.8694133162498474
20240809,0.8560724258422852
