,nav
20240102,1.0
20240103,1.0060506998561323
20240104,1.002772383380718
20240105,0.9938253479760568
20240108,0.9768850001380678
20240109,0.9788575263385157
20240110,0.9737939943146984
20240111,0.9755961950924403
20240112,0.9772726592984653
20240115,0.9769998045146524
20240116,0.9790298146976386
20240117,0.9606628238668135
20240118,0.9571724473328413
20240119,0.9574714679701162
20240122,0.9339632443938237
20240123,0.9422662717377623
20240124,0.959088080430343
20240125,0.9729623457610163
20240126,0.9613277587441813
20240129,0.9491471602784721
20240130,0.9275229314406326
20240131,0.9189527123751552
20240201,0.9032280540826518
20240202,0.8954066393473026
20240205,0.8964321478324779
20240206,0.9333451629664937
20240207,0.9623347671955389
20240208,0.9709824991824907
20240219,0.9930955584922063
20240220,0.9992460969939561
20240221,1.009135934501294
20240222,1.0114595707406002
20240223,1.0128021820361608
20240226,1.0055691550201964
20240227,1.0177118047745646
20240228,1.0059914279223126
20240229,1.0260009001562314
20240301,1.0294605752579413
20240304,1.0258927735403904
20240305,1.0198216424476807
20240306,1.0166603992311751
20240307,1.0085318943463408
20240308,1.0127869916096464
20240311,1.025201329643755
20240312,1.027189297999491
20240313,1.0217592676001628
20240314,1.0146393426405564
20240315,1.0160116422882035
20240318,1.0226213065607554
20240319,1.0140317993255292
20240320,1.0157304038231723
20240321,1.009351819944658
20240322,0.9969674774974124
20240325,0.9897280977456298
20240326,0.9916948851885856
20240327,0.9783783076427963
20240328,0.9692139343159261
20240329,0.9805033384341015
20240401,1.0058620937245377
20240402,1.0057966121891158
20240403,1.0109793813226717
20240408,1.0019185794550898
20240409,1.0219561499884415
20240410,1.0171790156381855
20240411,1.0167820106649783
20240412,1.0209261095300073
20240415,1.035281147333901
20240416,1.0172727451622163
20240417,1.0459184334381022
20240418,1.0526080233100572
20240419,1.0513697351155162
20240422,1.0482759744754908
20240423,1.0547797936910235
20240424,1.0555257336242452
20240425,1.0605736799919203
20240426,1.074518632655003
20240429,1.0962866615559173
20240430,1.08677440151064
20240506,1.105057641772682
20240507,1.1027585694671551
20240508,1.0879423460723128
20240509,1.1097455819063484
20240510,1.1021444907753042
20240513,1.0913724606168966
20240514,1.0872710831889991
20240515,1.0769086288809917
20240516,1.0730415571999166
20240517,1.083508327586734
20240520,1.0850100700853136
20240521,1.075365850159213
20240522,1.0802073623498776
20240523,1.0562137978204482
20240524,1.0481606952636109
20240527,1.059461649213246
20240528,1.049725409155333
20240529,1.0507602285222393
20240530,1.0461512786995644
20240531,1.0497334054103062
20240603,1.053254211664914
20240604,1.0678685358354536
20240605,1.0607877124385174
20240606,1.039448271109785
20240607,1.0447337613323024
20240611,1.0380372267166185
20240612,1.0313669038687878
20240613,1.006300252663297
20240614,1.016410954194479
20240617,1.0134218928187513
20240618,1.0256842967115904
20240619,1.0286791927653673
20240620,1.0184392057285376
20240621,1.0192351160408903
20240624,0.999451355029802
20240625,0.99168471881159
20240626,1.004942452583453
20240627,0.9911692124601037
20240628,0.9943427382087932
20240701,1.0105838370992162
20240702,1.0046348332209791
20240703,0.9964018509944723
20240704,0.9958692745576782
20240705,0.9934541910964189
20240708,0.9671668978921648
20240709,0.985792307930119
20240710,1.0036117878743467
20240711,1.0205477374677003
20240712,1.028804581371448
20240715,1.0266978981180748
20240716,1.0199894541263692
20240717,1.019325849099792
20240718,1.0222494796904271
20240719,1.0195720041725573
20240722,1.0098655762975708
20240723,0.9878976674755251
20240724,0.9686460114921692
20240725,0.9651193648524988
20240726,0.9810728847127151
20240729,0.9766533477358521
20240730,0.9706754474305279
20240731,1.004228690130888
20240801,0.9972563303203749
20240802,0.9860787826445695
20240805,0.9763293238364147
20240806,0.9852066968384402
20240807,0.982592844889816
20240808,0.9900705724738984
20240809,0.9873612443535924
20240812,0.9902538182710647
20240813,0.9942417683801169
20240814,0.976799487636203
20240815,0.9854301942920624
20240816,0.9794426220691441
20240819,0.9873310532660985
20240820,0.9709334574902589
20240821,0.9654798208566514
20240822,0.9583397111963544
20240823,0.969173550345527
20240826,0.9770391691399978
20240827,0.9797262213399569
20240828,0.9855706797056046
20240829,0.9922078087328924
20240830,0.9947532188530629
20240902,0.9925654580001954
20240903,1.0030622344807874
20240904,1.000305919680872
20240905,1.0117781273836133
20240906,1.0011348283086086
20240909,0.9902686104208305
20240910,0.9881212128426129
20240911,0.9831295214383612
20240912,0.9767808644262806
20240913,0.9706558627758965
20240918,0.9680979904052726
20240919,0.9788382626401116
20240920,0.9774773838107714
20240923,0.9863044937425485
20240924,1.0300660334903717
20240925,1.0382794698876656
20240926,1.0794036449053797
20240927,1.1205440315269084
20240930,1.211377342495565
20241008,1.2574263997032502
20241009,1.2063227027358474
20241010,1.2217200847809322
20241011,1.179400311804545
20241014,1.2048194549252644
20241015,1.1719793307402786
20241016,1.16564103270505
20241017,1.1505758215575215
20241018,1.1950989647237031
20241021,1.2091342092125488
20241022,1.2227358817999257
20241023,1.2358253910048085
20241024,1.2203398808572288
20241025,1.241472991683477
20241028,1.2661687466269613
20241029,1.241068092301861
20241030,1.2358228443646015
20241031,1.2252922736999294
20241101,1.227382376771565
20241104,1.2458568152137801
20241105,1.2748259780938138
20241106,1.2887788198853751
20241107,1.3178664318607558
20241108,1.3156717889034468
20241111,1.3122797244127085
20241112,1.3038449158035288
20241113,1.3017695856825733
20241114,1.279463761594163
20241115,1.272386152080295
20241118,1.2718126873483555
20241119,1.2823827222384392
20241120,1.2910706079774432
20241121,1.2962073898897943
20241122,1.257078256438795
20241125,1.2652223650581373
20241126,1.2603548016286557
20241127,1.2774252991180601
20241128,1.267732323793588
20241129,1.277900804561664
20241202,1.313432196832988
20241203,1.3339393383673928
20241204,1.3398429528394067
20241205,1.3322125480810914
20241206,1.3433140084734783
20241209,1.3483213451169822
20241210,1.3628883381124395
20241211,1.376812422194881
20241212,1.3814543455204322
20241213,1.3687771541950833
20241216,1.361167163110125
20241217,1.3661452238508105
20241218,1.3910097499113556
20241219,1.405174819346913
20241220,1.3970769370631846
20241223,1.3593864535381535
20241224,1.3840355263513109
20241225,1.3704539864000944
20241226,1.3836304909618862
20241227,1.3797008418812404
20241230,1.3776612293729624
20241231,1.3503751357874085
20250102,1.3048404840773182
20250103,1.269099990047186
20250106,1.2656998174659715
20250107,1.2787190587515398
20250108,1.2728272326119139
20250109,1.2727662644641111
20250110,1.2579011172768477
20250113,1.2584449083363434
20250114,1.291005283746615
20250115,1.2826440879340133
20250116,1.2990529535664757
20250117,1.315179657043284
20250120,1.3244009071703662
20250121,1.3279303030408491
20250122,1.3245351839089026
20250123,1.3242840518604986
20250124,1.3199352354944554
20250127,1.322473206775724
20250205,1.3267827502369753
20250206,1.3477018702449013
20250207,1.3632663444354318
20250210,1.374831887740962
20250211,1.369798490002087
20250212,1.3799166449862872
20250213,1.3729103946712007
20250214,1.3874644795764244
20250217,1.3857555396475099
20250218,1.38321697410332
20250219,1.3891576151550336
20250220,1.3888168548656858
20250221,1.3920012725429656
20250224,1.3857368496446625
20250225,1.3743445683129767
20250226,1.3787031645865164
20250227,1.3974498055070916
20250228,1.3864522948147728
20250303,1.3938815987084057
20250304,1.4033027048976232
20250305,1.4055362016629918
20250306,1.429986486918342
20250307,1.4346994359776806
20250310,1.4269077267733654
20250311,1.4398871656622723
20250312,1.4378754992391738
20250313,1.4291915944470437
20250314,1.4553662355531787
20250317,1.4566839243496177
20250318,1.4628987204844963
20250319,1.4648477408147722
20250320,1.4502354448960937
20250321,1.4364515378164056
20250324,1.4351254061104302
20250325,1.4408984854352391
20250326,1.445308066930672
20250327,1.4644241457071476
20250328,1.4625353312116078
20250331,1.462354269214588
20250401,1.4701007990783224
20250402,1.4708007140928516
20250403,1.4693593293759457
20250407,1.3816149127026502
20250408,1.3981388891018558
20250409,1.4076750345776303
20250410,1.4271369865856431
20250411,1.4343941208107072
20250414,1.4509560666865386
20250415,1.4427780430654542
20250416,1.433134515769914
20250417,1.4364520785956931
20250418,1.4411670893491837
20250421,1.4496018082772593
20250422,1.4411700539854153
20250423,1.4488252606477021
20250424,1.4298330442089857
20250425,1.429782999837832
20250428,1.4332463627718641
20250429,1.4328136652366554
20250430,1.42670443551734
20250506,1.4551861639688726
20250507,1.460287319115411
20250508,1.4612933111446766
20250509,1.4617416357738464
20250512,1.484034074042561
20250513,1.489219734230638
20250514,1.5015199437998292
20250515,1.49174174563056
20250516,1.494754019924784
20250519,1.4952049874272557
20250520,1.4931318857664626
20250521,1.4922475038824277
20250522,1.4809046333408136
20250523,1.4624515260054638
20250526,1.4612871219169525
20250527,1.4569760335061221
20250528,1.4570759822824326
20250529,1.4804251869519385
20250530,1.4614120852358272
20250603,1.455705124489243
20250604,1.4663127024356828
20250605,1.4805271374428133
20250606,1.476170686088724
20250609,1.479628320722006
20250610,1.4657773728600565
20250611,1.4805307149908922
20250612,1.474988051831231
20250613,1.4455256091075515
20250616,1.4447934501965234
20250617,1.4517443509266525
20250618,1.4550035171366096
20250619,1.4443696247727187
20250620,1.441663598357737
20250623,1.4476346794589603
20250624,1.474107719457835
20250625,1.4844052464997513
20250626,1.4761868370026074
20250627,1.4849254195678463
20250630,1.5051717833152363
20250701,1.515716715135128
20250702,1.5082466571662054
20250703,1.505709182982741
20250704,1.5095076358900614
20250707,1.507756456454244
20250708,1.5170385061660412
20250709,1.5148078527155056
20250710,1.5198018704749534
20250711,1.5244482087472366
20250714,1.530341420784214
20250715,1.524777558337456
20250716,1.5229504174996378
20250717,1.5389648520557566
20250718,1.5612801513553638
20250721,1.5986398669043065
20250722,1.6084374510316666
20250723,1.6166118522977886
20250724,1.6302135400649043
20250725,1.624308417192942
20250728,1.6160008911258539
20250729,1.6256215899656947
20250730,1.6199925498044674
20250731,1.6058629750701152
20250801,1.6168331060305854
20250804,1.621059184584469
20250805,1.648796318548037
20250806,1.6690743704899824
20250807,1.663866858439877
20250808,1.6551342197580818
20250811,1.6627398926331642
20250812,1.666959427849535
20250813,1.6750083423827644
20250814,1.6489882612515099
20250815,1.691818747348193
20250818,1.710098511085325
20250819,1.7163978301472804
20250820,1.7380858899458476
20250821,1.7452382872240313
20250822,1.7509509751204029
20250825,1.7553603953110308
20250826,1.7624689037643455
20250827,1.7307164358534854
20250828,1.7502088017088497
20250829,1.7640200502499748
20250901,1.7534294027272304
20250902,1.7196597560507936
20250903,1.6863098806104297
20250904,1.6702219802209084
20250905,1.706851783443765
20250908,1.7414660569473628
20250909,1.7191265305606633
20250910,1.7024267626535923
20250911,1.727982402082457
20250912,1.71062706484074
20250915,1.716828429502087
20250916,1.7405311376863517
20250917,1.7696859070646203
20250918,1.7581574664084099
20250919,1.7762365993469886
20250922,1.7611163857529435
20250923,1.8056444487139933
20250924,1.8145491654166759
20250925,1.81050507952804
20250926,1.7973338367917204
20250929,1.8196781113478204
20250930,1.8134648207892037
20251009,1.845392320060429
20251010,1.843610963361234
20251013,1.8389149182435263
20251014,1.8009183360708874
20251015,1.82229595885249
20251016,1.824802161838856
20251017,1.7780193470678065
20251020,1.7753096454417518
20251021,1.7966075017724263
20251022,1.792713534722173
20251023,1.8063419210819915
20251024,1.8094593053135397
20251027,1.826087330771198
