,nav
20240102,1.0
20240103,1.006050705909729
20240104,1.0027724504470825
20240105,0.9938254356384277
20240108,0.9768850803375244
20240109,0.9788575768470764
20240110,0.9737940430641174
20240111,0.9755962491035461
20240112,0.9772726893424988
20240115,0.976999819278717
20240116,0.9790298342704773
20240117,0.960662841796875
20240118,0.9571724534034729
20240119,0.957471489906311
20240122,0.9339632391929626
20240123,0.9422662854194641
20240124,0.959088146686554
20240125,0.9729623794555664
20240126,0.9613277912139893
20240129,0.9491472244262695
20240130,0.9275230169296265
20240131,0.9189527630805969
20240201,0.9032281041145325
20240202,0.8954066634178162
20240205,0.896432101726532
20240206,0.9333451390266418
20240207,0.9623346924781799
20240208,0.9709824323654175
20240219,0.9930954575538635
20240220,0.9992460012435913
20240221,1.0091358423233032
20240222,1.011459469795227
20240223,1.0128021240234375
20240226,1.0055691003799438
20240227,1.0177117586135864
20240228,1.0059913396835327
20240229,1.0260008573532104
20240301,1.0294604301452637
20240304,1.0258926153182983
20240305,1.0198215246200562
20240306,1.0166603326797485
20240307,1.0085318088531494
20240308,1.012786865234375
20240311,1.0252012014389038
20240312,1.0271891355514526
20240313,1.0217591524124146
20240314,1.0146392583847046
20240315,1.0160115957260132
20240318,1.0226212739944458
20240319,1.0140317678451538
20240320,1.015730381011963
20240321,1.0093517303466797
20240322,0.9969673752784729
20240325,0.9897279739379883
20240326,0.9916948080062866
20240327,0.9783782362937927
20240328,0.9692138433456421
20240329,0.9805033206939697
20240401,1.0058621168136597
20240402,1.0057966709136963
20240403,1.0109795331954956
20240408,1.0019187927246094
20240409,1.0219563245773315
20240410,1.017179250717163
20240411,1.016782283782959
20240412,1.0209263563156128
20240415,1.0352814197540283
20240416,1.01727294921875
20240417,1.045918583869934
20240418,1.0526082515716553
20240419,1.0513699054718018
20240422,1.0482760667800903
20240423,1.0547798871994019
20240424,1.055525779724121
20240425,1.0605738162994385
20240426,1.0745187997817993
20240429,1.0962868928909302
20240430,1.0867745876312256
20240506,1.1050578355789185
20240507,1.102758765220642
20240508,1.0879424810409546
20240509,1.1097456216812134
20240510,1.102144479751587
20240513,1.0913724899291992
20240514,1.0872710943222046
20240515,1.0769085884094238
20240516,1.073041558265686
20240517,1.0835083723068237
20240520,1.0850101709365845
20240521,1.0753659009933472
20240522,1.080207347869873
20240523,1.0562137365341187
20240524,1.0481606721878052
20240527,1.0594615936279297
20240528,1.0497254133224487
20240529,1.0507601499557495
20240530,1.0461511611938477
20240531,1.049733281135559
20240603,1.0532540082931519
20240604,1.0678683519363403
20240605,1.060787558555603
20240606,1.0394481420516968
20240607,1.0447336435317993
20240611,1.0380370616912842
20240612,1.0313667058944702
20240613,1.0063000917434692
20240614,1.0164108276367188
20240617,1.0134217739105225
20240618,1.025684118270874
20240619,1.0286790132522583
20240620,1.0184390544891357
20240621,1.0192350149154663
20240624,0.9994512796401978
20240625,0.9916846752166748
20240626,1.0049422979354858
20240627,0.9911690950393677
20240628,0.9943426847457886
20240701,1.010583758354187
20240702,1.0046347379684448
20240703,0.9964017868041992
20240704,0.9958692193031311
20240705,0.9934541583061218
20240708,0.9671668410301208
20240709,0.9857922196388245
20240710,1.00361168384552
20240711,1.02054762840271
20240712,1.0288045406341553
20240715,1.0266978740692139
20240716,1.0199894905090332
20240717,1.019325852394104
20240718,1.022249460220337
20240719,1.0195720195770264
20240722,1.0098655223846436
20240723,0.9878975749015808
20240724,0.9686459302902222
20240725,0.9651193022727966
20240726,0.9810729026794434
20240729,0.9766533374786377
20240730,0.9706754088401794
20240731,1.0042285919189453
20240801,0.9972562193870544
20240802,0.986078679561615
20240805,0.9763292074203491
20240806,0.9852065443992615
20240807,0.9825926423072815
20240808,0.9900703430175781
20240809,0.9873610138893127
20240812,0.9902535676956177
20240813,0.9942415356636047
20240814,0.9767992496490479
20240815,0.9854299426078796
20240816,0.9794423580169678
20240819,0.9873307943344116
20240820,0.970933198928833
20240821,0.9654795527458191
20240822,0.9583394527435303
20240823,0.9691733121871948
20240826,0.9770389199256897
20240827,0.9797259569168091
20240828,0.9855703711509705
20240829,0.9922074675559998
20240830,0.9947528839111328
20240902,0.9925651550292969
20240903,1.0030618906021118
20240904,1.0003055334091187
20240905,1.011777639389038
20240906,1.0011343955993652
20240909,0.9902681708335876
20240910,0.9881207942962646
20240911,0.9831291437149048
20240912,0.9767804741859436
20240913,0.9706555008888245
20240918,0.9680976271629333
20240919,0.9788379073143005
20240920,0.9774770736694336
20240923,0.9863041639328003
20240924,1.030065655708313
20240925,1.0382790565490723
20240926,1.0794031620025635
20240927,1.1205434799194336
20240930,1.2113767862319946
20241008,1.2574257850646973
20241009,1.2063220739364624
20241010,1.2217193841934204
20241011,1.1793996095657349
20241014,1.2048187255859375
20241015,1.1719785928726196
20241016,1.1656402349472046
20241017,1.150575041770935
20241018,1.1950981616973877
20241021,1.2091333866119385
20241022,1.222735047340393
20241023,1.2358245849609375
20241024,1.220339059829712
20241025,1.2414721250534058
20241028,1.2661678791046143
20241029,1.2410672903060913
20241030,1.235822081565857
20241031,1.2252914905548096
20241101,1.2273815870285034
20241104,1.2458559274673462
20241105,1.2748249769210815
20241106,1.2887777090072632
20241107,1.317865252494812
20241108,1.3156706094741821
20241111,1.3122785091400146
20241112,1.3038437366485596
20241113,1.30176842212677
20241114,1.2794625759124756
20241115,1.2723848819732666
20241118,1.2718114852905273
20241119,1.282381534576416
20241120,1.2910693883895874
20241121,1.2962062358856201
20241122,1.2570770978927612
20241125,1.265221118927002
20241126,1.2603535652160645
20241127,1.2774240970611572
20241128,1.2677310705184937
20241129,1.2778995037078857
20241202,1.313430905342102
20241203,1.3339381217956543
20241204,1.339841604232788
20241205,1.3322112560272217
20241206,1.3433127403259277
20241209,1.3483200073242188
20241210,1.3628870248794556
20241211,1.376811146736145
20241212,1.381453037261963
20241213,1.3687758445739746
