,nav
20240102,1.0
20240103,1.006759646754479
20240104,1.003843244795304
20240105,0.9978475926752002
20240108,0.986016281132857
20240109,0.984778620505896
20240110,0.9790815242396089
20240111,0.9843932200414152
20240112,0.9857206796141973
20240115,0.9830622099951883
20240116,0.9782852827890489
20240117,0.9552064450470973
20240118,0.9495469306741812
20240119,0.9416779366975877
20240122,0.9067401218297534
20240123,0.9155320562527377
20240124,0.9251349450153911
20240125,0.9583850590120446
20240126,0.9666453064875207
20240129,0.9535823185526874
20240130,0.9318326840778498
20240131,0.924268761875741
20240201,0.9172164986607828
20240202,0.9060640260960986
20240205,0.8965530349374738
20240206,0.9337318913884173
20240207,0.9491166784049304
20240208,0.9562891927430146
20240219,0.9666347743744886
20240220,0.9765931601298614
20240221,0.9827330246474667
20240222,0.9982597845495772
20240223,1.0052405264006268
20240226,1.0023725407858337
20240227,1.0196166048314836
20240228,1.0062832145069467
20240229,1.0262716726008279
20240301,1.024934441552927
20240304,1.0232715846139289
20240305,1.0196648264579757
20240306,1.0189999091475974
20240307,1.012633793452182
20240308,1.0201643243522633
20240311,1.0312783412802164
20240312,1.0326431482942986
20240313,1.039230373414188
20240314,1.0397949321051796
20240315,1.0398720721381627
20240318,1.046409044141825
20240319,1.035087272138413
20240320,1.0332431033486726
20240321,1.0241085762429494
20240322,1.0054065002636012
20240325,0.9961992471034153
20240326,1.000060362862212
20240327,0.984980187747853
20240328,0.9889937722915486
20240329,1.000677313951138
20240401,1.0336474499905102
20240402,1.0300013290556722
20240403,1.037555162303197
20240408,1.0290732139026832
20240409,1.0347224787134022
20240410,1.0209369819506926
20240411,1.0166604476154741
20240412,1.015645118454789
20240415,1.0247379087402564
20240416,1.0002240147890586
20240417,1.031538145158648
20240418,1.035243979042463
20240419,1.0227255381945348
20240422,1.0186230936533913
20240423,1.0117098480379338
20240424,1.0106860114229637
20240425,1.0133022055792789
20240426,1.0255483512608023
20240429,1.0412718627242987
20240430,1.0409836316093364
20240506,1.0503071202713181
20240507,1.0481198927619253
20240508,1.043126795861125
20240509,1.0542969064435186
20240510,1.0570689915801075
20240513,1.0594269327621995
20240514,1.0568529907965165
20240515,1.04673170268973
20240516,1.0420492027825197
20240517,1.0473232133318595
20240520,1.0521953763834742
20240521,1.0429809200141085
20240522,1.0383553421844305
20240523,1.0222334940620323
20240524,1.021689532657298
20240527,1.0304480049642093
20240528,1.0200905868565564
20240529,1.0256347575534206
20240530,1.0247537039227181
20240531,1.02564026985686
20240603,1.023788939285023
20240604,1.0322279665790166
20240605,1.0197427977718732
20240606,1.0099959716526632
20240607,1.0134706379990794
20240611,1.0118797739042635
20240612,1.0103204395950647
20240613,0.9959440642901014
20240614,1.002978308215791
20240617,0.9990815129942344
20240618,0.9985486727236622
20240619,0.9897687828035788
20240620,0.9790007670787373
20240621,0.9837140345165714
20240624,0.9702709044263196
20240625,0.9731592226121765
20240626,0.9873224285451739
20240627,0.972586136298191
20240628,0.979300227278853
20240701,1.0025790511833452
20240702,1.00117025914629
20240703,0.9912306301946802
20240704,0.9770631675150273
20240705,0.9761634744080098
20240708,0.9539661360449323
20240709,0.9707206805925277
20240710,0.9708423810048812
