,nav
20240102,1.0
20240103,1.0086400005966425
20240104,1.0118518133355305
20240105,1.0106501379242894
20240108,1.003350312403568
20240109,1.0046104200779584
20240110,1.0013522675482145
20240111,0.9970002907765008
20240112,1.0019629591423933
20240115,1.0034356445489712
20240116,1.009644001188661
20240117,0.9953281576461922
20240118,0.9990046010995837
20240119,0.9958662285546926
20240122,0.991038767467942
20240123,0.9990869929730115
20240124,1.0173720831944815
20240125,1.039463503406203
20240126,1.0403940308383712
20240129,1.0379336032754256
20240130,1.0143906752112337
20240131,0.9962046786387411
20240201,0.9998767889482654
20240202,0.9771162929514093
20240205,0.9538629739869112
20240206,1.0153963856648731
20240207,1.0510007520525675
20240208,1.0867779729653464
20240219,1.1042032612617145
20240220,1.1024589513281196
20240221,1.115306237665519
20240222,1.1225659887360815
20240223,1.12674395449782
20240226,1.1268077285354843
20240227,1.1509522889200943
20240228,1.117102206535432
20240229,1.1498563108656437
20240301,1.1729125409719545
20240304,1.163240351415001
20240305,1.1607566006628156
20240306,1.148658847589413
20240307,1.1300203634168957
20240308,1.1369073856073901
20240311,1.1640517312728615
20240312,1.1611412526560339
20240313,1.1723483543527178
20240314,1.1596376354192672
20240315,1.1610396371960563
20240318,1.1742602786020717
20240319,1.1669051816900553
20240320,1.1664168316170453
20240321,1.163026407660306
20240322,1.147761336678014
20240325,1.1455594709985335
20240326,1.1512263239975868
20240327,1.131464836255953
20240328,1.124050120280913
20240329,1.1281597596820416
20240401,1.1576709521234227
20240402,1.1574585195876206
20240403,1.1650536472133373
20240408,1.156830348964436
20240409,1.1539161776634297
20240410,1.1529924685209716
20240411,1.1542002283350836
20240412,1.151696191087157
20240415,1.1772157055378087
20240416,1.1691986328610382
20240417,1.1849126623619461
20240418,1.1806440146844477
20240419,1.1765004267864383
20240422,1.1674181972731197
20240423,1.1571592764100425
20240424,1.1598711950640397
20240425,1.1658301493212209
20240426,1.1440675964348337
20240429,1.1442660918096417
20240430,1.1386268050495099
20240506,1.154734617443459
20240507,1.1476633693974538
20240508,1.1385462172778547
20240509,1.149505065993696
20240510,1.1472155968510283
20240513,1.1420892643203462
20240514,1.1336542505042844
20240515,1.1338995732549655
20240516,1.1355453149547627
20240517,1.1480259799427261
20240520,1.1503618684155636
20240521,1.1479604880769563
20240522,1.1545900747902413
20240523,1.1428618643491117
20240524,1.1515952709037396
20240527,1.161512693987606
20240528,1.16742397971371
20240529,1.1737460470184335
20240530,1.1621435672673992
20240531,1.1598587932046243
20240603,1.1604426657061078
20240604,1.1606607130066264
20240605,1.154616571855574
20240606,1.1575803567166183
20240607,1.153485530969013
20240611,1.139487984087487
20240612,1.14456178253167
20240613,1.1385305142629292
20240614,1.1378981745706997
20240617,1.1365688818689037
20240618,1.1579262635136942
20240619,1.161918677547792
20240620,1.1630205244245895
20240621,1.1533866432596596
20240624,1.1527854982632928
20240625,1.1512595560213281
20240626,1.155126176323201
20240627,1.1466954886810135
20240628,1.1695367431730865
20240701,1.1786592466130836
20240702,1.200038829292004
20240703,1.1900725066452127
20240704,1.1967807074465162
20240705,1.180211279168599
20240708,1.1799999028524861
20240709,1.1978490552220455
20240710,1.187667217216271
20240711,1.1935683793174483
20240712,1.205331950918287
20240715,1.2146081855255517
20240716,1.2175828826010908
20240717,1.205957278696992
20240718,1.2187219746099194
20240719,1.2191787516790586
20240722,1.2094584842523668
20240723,1.202406253003578
20240724,1.2028100209133143
20240725,1.1883156795704388
20240726,1.1812696803268081
20240729,1.1845380174118463
20240730,1.1706099837255202
20240731,1.1831496751580022
20240801,1.176841950161242
20240802,1.1657506846348762
20240805,1.144977006678695
20240806,1.1357910839824938
20240807,1.147460201050673
20240808,1.148516208766537
20240809,1.1523222763306773
20240812,1.1506980783246514
20240813,1.159213704389562
20240814,1.1528362898113191
20240815,1.1624812638242736
20240816,1.168523144208977
20240819,1.1792597678799501
20240820,1.1731960135593555
20240821,1.1677174223450966
20240822,1.1782289808730388
20240823,1.1855993922848012
20240826,1.190819349838251
20240827,1.195569409407045
20240828,1.1896947402233895
20240829,1.177460157641852
20240830,1.1723784756023425
20240902,1.1702103965024535
20240903,1.1657404271234049
20240904,1.1590045457954743
20240905,1.1499878378803132
20240906,1.1457831370606675
20240909,1.1379009501973472
20240910,1.1464994991587736
20240911,1.1302257440645758
20240912,1.1309313435800552
20240913,1.123032580346221
20240918,1.131769998805314
20240919,1.1297494498563683
20240920,1.1307340263050418
20240923,1.1396227270350439
20240924,1.1910561841961997
20240925,1.211672413921895
20240926,1.246212227645802
20240927,1.3011106161076258
20240930,1.4406013899551584
20241008,1.5231474115257053
20241009,1.445328899266666
20241010,1.4393651825085771
20241011,1.389197400355875
20241014,1.4307760801110116
20241015,1.4054499127524436
20241016,1.4003915582316164
20241017,1.4019179852411632
20241018,1.4457244179479134
20241021,1.468342484510312
20241022,1.4710871104978482
20241023,1.4807096388827419
20241024,1.4642853115093062
20241025,1.5041055210770709
20241028,1.5313654801365881
20241029,1.520181304829203
20241030,1.5169252282981807
20241031,1.5366407048030313
20241101,1.5011226377366156
20241104,1.5343160609600752
20241105,1.5870910138131045
20241106,1.592704554238991
20241107,1.608149169806993
20241108,1.6036249639324804
20241111,1.6503677489380049
20241112,1.6456439009042105
