,nav
20240102,1.0
20240103,1.0086400508880615
20240104,1.0118519067764282
20240105,1.0106501579284668
20240108,1.0033503770828247
20240109,1.0046104192733765
20240110,1.001352310180664
20240111,0.9970003366470337
20240112,1.0019630193710327
20240115,1.003435730934143
20240116,1.0096440315246582
20240117,0.9953281879425049
20240118,0.999004602432251
20240119,0.9958661794662476
20240122,0.9910386800765991
20240123,0.9990869164466858
20240124,1.0173720121383667
20240125,1.0394634008407593
20240126,1.0399819612503052
20240129,1.038009524345398
20240130,1.017952799797058
20240131,0.9997029304504395
20240201,1.0033879280090332
20240202,0.9805474877357483
20240205,0.957212507724762
20240206,1.018962025642395
20240207,1.0546914339065552
20240208,1.0905942916870117
20240219,1.1080807447433472
20240220,1.1063302755355835
20240221,1.119222640991211
20240222,1.1265078783035278
20240223,1.1307005882263184
20240226,1.1307646036148071
20240227,1.1549938917160034
20240228,1.1210249662399292
20240229,1.153894066810608
20240301,1.178516149520874
20240304,1.1699129343032837
20240305,1.1689094305038452
20240306,1.1574935913085938
20240307,1.1371312141418457
20240308,1.1429872512817383
20240311,1.1702932119369507
20240312,1.1690300703048706
20240313,1.1802202463150024
20240314,1.1623362302780151
20240315,1.163490891456604
20240318,1.1752649545669556
20240319,1.166963815689087
20240320,1.1687031984329224
20240321,1.1600068807601929
20240322,1.1408720016479492
20240325,1.1302704811096191
20240326,1.1372768878936768
20240327,1.1164578199386597
20240328,1.1078875064849854
20240329,1.1084558963775635
20240401,1.1373991966247559
20240402,1.136682391166687
20240403,1.1406214237213135
20240408,1.1323128938674927
20240409,1.13034188747406
20240410,1.128437876701355
20240411,1.1290662288665771
20240412,1.1244776248931885
20240415,1.158940315246582
20240416,1.1553035974502563
20240417,1.1682578325271606
20240418,1.168651819229126
20240419,1.1641972064971924
20240422,1.1563286781311035
20240423,1.1466678380966187
20240424,1.1491765975952148
20240425,1.1548042297363281
20240426,1.1473071575164795
20240429,1.152108907699585
20240430,1.1487822532653809
20240506,1.1617212295532227
20240507,1.1569628715515137
20240508,1.1508530378341675
20240509,1.160529375076294
20240510,1.1583280563354492
20240513,1.1501845121383667
20240514,1.1417264938354492
20240515,1.1416946649551392
20240516,1.1516438722610474
20240517,1.1687989234924316
20240520,1.1668508052825928
20240521,1.1596730947494507
20240522,1.1616315841674805
20240523,1.1483724117279053
20240524,1.1559540033340454
20240527,1.1640671491622925
20240528,1.1694161891937256
20240529,1.1781153678894043
20240530,1.1650139093399048
20240531,1.164061188697815
20240603,1.167078971862793
20240604,1.1672981977462769
20240605,1.1612194776535034
20240606,1.1676346063613892
20240607,1.1657357215881348
20240611,1.1527007818222046
20240612,1.1565296649932861
20240613,1.1504353284835815
20240614,1.1497963666915894
20240617,1.1465312242507935
20240618,1.1571968793869019
20240619,1.1611868143081665
20240620,1.161823034286499
20240621,1.1521990299224854
20240624,1.151598572731018
20240625,1.1500742435455322
20240626,1.1539368629455566
20240627,1.1455148458480835
20240628,1.1751928329467773
20240701,1.1824111938476562
20240702,1.2038588523864746
20240703,1.1938607692718506
20240704,1.2005903720855713
20240705,1.183968186378479
20240708,1.1837561130523682
20240709,1.2016620635986328
20240710,1.1914478540420532
20240711,1.197367787361145
20240712,1.209168791770935
20240715,1.2184746265411377
20240716,1.2212599515914917
20240717,1.218795895576477
20240718,1.2284613847732544
20240719,1.2289217710494995
20240722,1.2161537408828735
20240723,1.2090624570846558
20240724,1.2094684839248657
20240725,1.1948939561843872
20240726,1.1878089904785156
20240729,1.1959059238433838
20240730,1.1818442344665527
20240731,1.1945043802261353
20240801,1.188136100769043
20240802,1.1769384145736694
20240805,1.1559653282165527
20240806,1.1466913223266602
20240807,1.1584725379943848
20240808,1.1595386266708374
20240809,1.1609872579574585
20240812,1.159549355506897
20240813,1.1681305170059204
20240814,1.1617040634155273
20240815,1.173567771911621
20240816,1.179086685180664
20240819,1.1935558319091797
20240820,1.189073085784912
20240821,1.1829378604888916
20240822,1.194618582725525
20240823,1.2012680768966675
20240826,1.2065569162368774
20240827,1.2113697528839111
20240828,1.205417513847351
20240829,1.1930211782455444
20240830,1.187872290611267
20240902,1.1856756210327148
20240903,1.181146502494812
20240904,1.1743216514587402
20240905,1.1700915098190308
20240906,1.167175531387329
20240909,1.1590602397918701
20240910,1.1679561138153076
20240911,1.155202031135559
20240912,1.1537823677062988
20240913,1.1482847929000854
20240918,1.1543651819229126
20240919,1.152953028678894
20240920,1.1549826860427856
20240923,1.1640620231628418
20240924,1.2213307619094849
20240925,1.238560676574707
20240926,1.2813245058059692
20240927,1.328798532485962
20240930,1.4747045040130615
20241008,1.5783320665359497
20241009,1.4956783056259155
20241010,1.49647855758667
20241011,1.4398616552352905
20241014,1.4816356897354126
20241015,1.4564895629882812
20241016,1.4523845911026
20241017,1.4549461603164673
20241018,1.4998407363891602
20241021,1.5206347703933716
20241022,1.5259771347045898
20241023,1.5399657487869263
20241024,1.5227651596069336
20241025,1.5682059526443481
20241028,1.5944486856460571
20241029,1.582803726196289
20241030,1.5790908336639404
20241031,1.5996143817901611
20241101,1.5664191246032715
20241104,1.596651554107666
20241105,1.6515706777572632
20241106,1.6574121713638306
20241107,1.673484206199646
20241108,1.6687029600143433
20241111,1.7237908840179443
20241112,1.717539668083191
20241113,1.7095515727996826
20241114,1.6684019565582275
20241115,1.6581817865371704
20241118,1.621914029121399
20241119,1.6518946886062622
20241120,1.656265377998352
20241121,1.6484394073486328
20241122,1.5813548564910889
20241125,1.5701936483383179
20241126,1.560763955116272
20241127,1.5886807441711426
20241128,1.569694995880127
20241129,1.5927410125732422
20241202,1.609178066253662
20241203,1.6292470693588257
20241204,1.6095341444015503
20241205,1.6253186464309692
20241206,1.636954665184021
20241209,1.6387934684753418
20241210,1.6628022193908691
20241211,1.662398338317871
20241212,1.6845217943191528
20241213,1.6543803215026855
20241216,1.6618627309799194
20241217,1.648573398590088
20241218,1.6543718576431274
20241219,1.6446360349655151
20241220,1.6348220109939575
20241223,1.6477890014648438
20241224,1.6745315790176392
20241225,1.68722665309906
20241226,1.679250955581665
20241227,1.6779611110687256
20241230,1.6856330633163452
20241231,1.6733295917510986
20250102,1.635738492012024
20250103,1.6148624420166016
20250106,1.603218674659729
20250107,1.6009001731872559
20250108,1.6058714389801025
20250109,1.5926611423492432
20250110,1.5807117223739624
20250113,1.5705622434616089
20250114,1.5996757745742798
20250115,1.5899477005004883
20250116,1.5972445011138916
20250117,1.5979363918304443
20250120,1.5938308238983154
20250121,1.5911422967910767
20250122,1.5650101900100708
20250123,1.5892289876937866
20250124,1.6015254259109497
20250127,1.6109758615493774
20250205,1.5941964387893677
20250206,1.605561375617981
20250207,1.6180822849273682
20250210,1.6214773654937744
20250211,1.621591567993164
20250212,1.6477094888687134
20250213,1.6495354175567627
20250214,1.6721700429916382
20250217,1.6611262559890747
20250218,1.6599478721618652
20250219,1.6615958213806152
20250220,1.6627529859542847
20250221,1.666634440422058
20250224,1.6693131923675537
20250225,1.6549655199050903
20250226,1.6689561605453491
20250227,1.6775615215301514
20250228,1.6593610048294067
20250303,1.6654436588287354
20250304,1.6575517654418945
20250305,1.672909140586853
20250306,1.6847442388534546
20250307,1.6781644821166992
20250310,1.6674540042877197
20250311,1.6772632598876953
20250312,1.6680138111114502
20250313,1.6673390865325928
20250314,1.6969715356826782
20250317,1.694940447807312
20250318,1.7030465602874756
20250319,1.7087382078170776
20250320,1.6989867687225342
20250321,1.6747121810913086
20250324,1.6834927797317505
20250325,1.6858986616134644
20250326,1.679161787033081
20250327,1.6877241134643555
20250328,1.6803313493728638
20250331,1.6805448532104492
20250401,1.6734224557876587
20250402,1.6819651126861572
20250403,1.679121732711792
20250407,1.5767111778259277
20250408,1.6203583478927612
20250409,1.608721137046814
20250410,1.6366245746612549
20250411,1.6385433673858643
20250414,1.6609179973602295
20250415,1.6545476913452148
20250416,1.6498596668243408
20250417,1.65807044506073
20250418,1.6685845851898193
20250421,1.6710554361343384
20250422,1.6800549030303955
20250423,1.6770597696304321
20250424,1.6948461532592773
20250425,1.7045189142227173
20250428,1.7136965990066528
20250429,1.712298035621643
20250430,1.7061145305633545
20250506,1.7128292322158813
20250507,1.7305651903152466
20250508,1.7398251295089722
20250509,1.7224791049957275
20250512,1.746252179145813
20250513,1.7499446868896484
20250514,1.7615662813186646
20250515,1.7559810876846313
20250516,1.752485990524292
20250519,1.7604403495788574
20250520,1.7709273099899292
20250521,1.7785724401474
20250522,1.7789068222045898
20250523,1.7610090970993042
20250526,1.7454617023468018
20250527,1.7362971305847168
20250528,1.7412171363830566
20250529,1.7719143629074097
20250530,1.7695143222808838
20250603,1.759592056274414
20250604,1.7580419778823853
20250605,1.7622464895248413
20250606,1.7685387134552002
20250609,1.7692338228225708
20250610,1.7621300220489502
20250611,1.7762985229492188
20250612,1.7677116394042969
20250613,1.7630035877227783
20250616,1.770625114440918
20250617,1.7752685546875
20250618,1.7820408344268799
20250619,1.7783135175704956
20250620,1.7721641063690186
20250623,1.7815139293670654
20250624,1.798203706741333
20250625,1.808736801147461
20250626,1.812211513519287
20250627,1.780970811843872
20250630,1.7810933589935303
20250701,1.78974187374115
20250702,1.79594087600708
20250703,1.795336127281189
20250704,1.812556266784668
20250707,1.810060739517212
20250708,1.8187098503112793
20250709,1.8249825239181519
20250710,1.8467131853103638
20250711,1.8441996574401855
20250714,1.8583282232284546
20250715,1.8502792119979858
20250716,1.8583024740219116
20250717,1.8652721643447876
20250718,1.8741726875305176
20250721,1.890194058418274
20250722,1.9126075506210327
20250723,1.9024548530578613
20250724,1.9285353422164917
20250725,1.9306483268737793
20250728,1.928518295288086
20250729,1.9273079633712769
20250730,1.9206475019454956
20250731,1.8905054330825806
20250801,1.884903907775879
20250804,1.8960247039794922
20250805,1.9209983348846436
20250806,1.9289664030075073
20250807,1.9363681077957153
20250808,1.9266674518585205
20250811,1.9292327165603638
20250812,1.9413268566131592
20250813,1.938156247138977
20250814,1.9293088912963867
20250815,1.941868543624878
20250818,1.9439994096755981
20250819,1.9397013187408447
20250820,1.985408902168274
20250821,1.9930846691131592
20250822,2.0341129302978516
20250825,2.0513508319854736
20250826,2.063812017440796
20250827,2.0147085189819336
20250828,2.0210816860198975
20250829,2.0420892238616943
20250901,2.0293872356414795
20250902,1.9933247566223145
20250903,1.9687303304672241
20250904,1.9490125179290771
20250905,1.979222059249878
20250908,2.012342929840088
20250909,1.9929134845733643
20250910,1.981032133102417
20250911,1.991151213645935
20250912,1.9836140871047974
20250915,2.0032269954681396
20250916,2.00359845161438
20250917,2.034770965576172
20250918,2.0135903358459473
20250919,2.0100209712982178
20250922,2.0199050903320312
20250923,2.018033981323242
20250924,2.0446877479553223
20250925,2.0816893577575684
20250926,2.070388078689575
20250929,2.0900659561157227
20250930,2.0863611698150635
20251009,2.1077773571014404
20251010,2.0853753089904785
20251013,2.070448160171509
20251014,2.049893617630005
20251015,2.076249361038208
20251016,2.0726664066314697
20251017,2.0298593044281006
20251020,2.044156312942505
20251021,2.088649272918701
20251022,2.092782974243164
20251023,2.1062333583831787
20251024,2.1230669021606445
20251027,2.1525464057922363
20251028,2.1566038131713867
20251029,2.1689841747283936
20251030,2.172497034072876
20251031,2.135618209838867
20251103,2.1557869911193848
20251104,2.1512579917907715
20251105,2.1652934551239014
20251106,2.1846604347229004
20251107,2.1815342903137207
20251110,2.191987991333008
20251111,2.188086748123169
20251112,2.198147773742676
20251113,2.2357847690582275
20251114,2.2119743824005127
20251117,2.1881978511810303
20251118,2.1792893409729004
20251119,2.204641342163086
20251120,2.2029497623443604
20251121,2.1434531211853027
20251124,2.1080915927886963
20251125,2.1690192222595215
20251126,2.1837668418884277
20251127,2.190955877304077
20251128,2.1937029361724854
20251201,2.202972173690796
20251202,2.203685998916626
20251203,2.185356855392456
20251204,2.1862974166870117
20251205,2.198042154312134
20251208,2.2100634574890137
