,nav
20240102,1.0
20240103,1.00255349888216
20240104,0.9953389924244427
20240105,0.9893736358754505
20240108,0.9781209194616831
20240109,0.9801575479381714
20240110,0.9674493153775126
20240111,0.9812212843690172
20240112,0.9641714112189734
20240115,0.9547902450509771
20240116,0.9628515160396126
20240117,0.9389869974663626
20240118,0.945928076233006
20240119,0.9393082918587922
20240122,0.8922214766760875
20240123,0.9073250289667452
20240124,0.9069499716031075
20240125,0.9284231965192685
20240126,0.9069744321737339
20240129,0.8909815730430737
20240130,0.861120027978869
20240131,0.836405126996622
20240201,0.8437800147976847
20240202,0.8275007975763636
20240205,0.7914448367336085
20240206,0.861762769967095
20240207,0.9012717080869134
20240208,0.9333441228879934
20240219,0.9391247442091145
20240220,0.9371851978593964
20240221,0.9499024621973514
20240222,0.9611662644107528
20240223,0.9702491653174975
20240226,0.9771351020290293
20240227,0.9948849171276644
20240228,0.9624376380793779
20240229,0.993961685281546
20240301,1.0128063257251896
20240304,1.0113649368760076
20240305,1.002878804552165
20240306,0.9967131607745348
20240307,0.9823697896575602
20240308,0.9885080633675983
20240311,1.0085390205142413
20240312,1.0146841309955177
20240313,1.0087635109503088
20240314,0.9989304224338194
20240315,1.0070090563031815
20240318,1.0141498397055426
20240319,1.0048054374764561
20240320,0.999926772832945
20240321,0.9953220017772721
20240322,0.9820707864084567
20240325,0.9802616771574597
20240326,0.9785805523350987
20240327,0.9540557891356607
20240328,0.9771081251380208
20240329,0.9806844499425162
20240401,1.0088288178804872
20240402,1.007620714825094
20240403,1.0091659514537021
20240408,1.0065186038215213
20240409,1.0129840584504528
20240410,1.016738175430943
20240411,1.0323841431723484
20240412,1.030674418880688
20240415,1.049978938518741
20240416,1.03131602934186
20240417,1.0524892047384573
20240418,1.046276762564627
20240419,1.0335294136411868
20240422,1.0249794295448165
20240423,1.0141566498177892
20240424,1.0114593058013588
20240425,1.0081960123806477
20240426,1.0283256709540705
20240429,1.0462394977875993
20240430,1.0353447289319866
20240506,1.0409853649791623
20240507,1.0405631741382182
20240508,1.0351933045549018
20240509,1.0385480947165044
20240510,1.0400144064022514
20240513,1.041560350016745
20240514,1.0399462175992096
20240515,1.0334063042725836
20240516,1.0221224235264768
20240517,1.0238575789497537
20240520,1.022617967052857
20240521,1.0193164233340462
20240522,1.0118450476945982
20240523,0.9965460985921107
20240524,0.9908170900437249
20240527,1.0028343821275527
20240528,0.9944113060247405
20240529,0.9917511693101169
20240530,0.9836151125215548
20240531,0.9837754040125201
20240603,0.9913998442474086
20240604,1.0043143148059737
20240605,0.9891650738728253
20240606,0.9983769852604026
20240607,0.9828183646165789
20240611,0.9900076954214857
20240612,1.003004389272437
20240613,1.010799516238336
20240614,1.0185044594159647
20240617,1.0284077775871905
20240618,1.0494032196351895
20240619,1.0435109201071981
20240620,1.0474760210690812
20240621,1.04051586167212
20240624,1.0323881365502678
20240625,1.0202883682048853
20240626,1.036492226764471
20240627,1.0110224864085315
20240628,1.0211075542735308
20240701,1.0304744356130011
20240702,1.008754028961898
20240703,0.992639994697285
20240704,0.9937166960682818
20240705,0.9901360283742509
20240708,0.983243096044234
20240709,1.002104309867467
20240710,0.9935231695481639
20240711,0.9969312325585239
20240712,1.0066568768906232
20240715,1.0054880053424873
20240716,1.0051643452157708
20240717,1.0132000424745269
20240718,1.0222188791790219
20240719,1.0210115001318414
20240722,1.0132632357000266
20240723,0.9821860626330932
20240724,0.9750049116910589
20240725,0.9623688460267132
20240726,0.9668219398902768
20240729,0.9682614051452599
20240730,0.9538484231121246
20240731,0.993832157665111
20240801,0.9893008574750898
20240802,0.9713524221718318
20240805,0.9360529073112595
20240806,0.9445003174958211
20240807,0.9499438322295805
20240808,0.9514464869111305
20240809,0.956021961002216
20240812,0.9605613296992008
20240813,0.9637004722903357
20240814,0.945991826129474
20240815,0.9439825840262076
20240816,0.948909081518961
20240819,0.9456336809288121
20240820,0.9334548415085157
20240821,0.9384401506910589
20240822,0.9358399597666687
20240823,0.9339356382741179
20240826,0.9356259371045257
20240827,0.9273181158131666
20240828,0.9263512225196092
20240829,0.9351618936095962
20240830,0.9563007851190468
20240902,0.9589800239204112
20240903,0.9616900649065467
20240904,0.9497520633146533
20240905,0.9433009182297611
20240906,0.9321541724349834
20240909,0.9195555180584348
20240910,0.9155112482074099
20240911,0.9080078737344126
20240912,0.8995148371483347
20240913,0.9046373953934225
20240918,0.911025484398206
20240919,0.9111928899327645
20240920,0.9118888416035521
20240923,0.9161506513001262
20240924,0.9525512276408025
20240925,0.9580083855388124
20240926,0.9909956573797338
20240927,1.0201561791363363
20240930,1.0990164004868463
20241008,1.1542228919695807
20241009,1.0790044540913588
20241010,1.0782353658167756
20241011,1.0366188144484478
20241014,1.0615307332734727
20241015,1.042384035808999
20241016,1.03518583396122
20241017,1.0330311307595743
20241018,1.0703930317136907
20241021,1.087720609974986
20241022,1.0913436006915562
20241023,1.0942616434396641
20241024,1.0916243999133737
20241025,1.1108686685845965
20241028,1.1232814666507636
20241029,1.1088647794295696
20241030,1.1189821406111207
20241031,1.1342011122181581
20241101,1.1038279391468402
