,nav
20240103,1.0
20240104,1.0095995843410492
20240105,1.0099302676982966
20240108,1.0090185776408243
20240109,1.002968523145584
20240110,1.0027776038948724
20240111,1.0073874640854172
20240112,1.002053961672946
20240115,1.005944902764644
20240116,1.008038161852562
20240117,1.0145483152316503
20240118,1.0004345821435199
20240119,1.0007053023328767
20240122,0.9953335204183055
20240123,0.9924245826042489
20240124,1.0055958134775336
20240125,1.0209659323238425
20240126,1.0403217864503953
20240129,1.0460652688636656
20240130,1.0369157792141512
20240131,1.018936025131194
20240201,0.999657501943088
20240202,1.0055684985653481
20240205,0.9773233439388908
20240206,0.950671841215713
20240207,1.0228085855334512
20240208,1.0592697437101457
20240219,1.1068302482586116
20240220,1.1016401502695865
20240221,1.0972353544552638
20240222,1.1168869327330853
20240223,1.1275544088772298
20240226,1.1315012310875743
20240227,1.1257511436424497
20240228,1.1576282637260962
20240229,1.111352146069393
20240301,1.153190703697646
20240304,1.1797585535245625
20240305,1.1636872189106944
20240306,1.164359825036059
20240307,1.1611304404403127
20240308,1.139892754304539
20240311,1.140995611469731
20240312,1.1745784791817313
20240313,1.1712124889151285
20240314,1.1738152584355523
20240315,1.1574162943022201
20240318,1.1612319667527982
20240319,1.1696249151460887
20240320,1.1618782586052598
20240321,1.1679528791036418
20240322,1.1554416126994316
20240325,1.1343276428485882
20240326,1.126180362237581
20240327,1.1311634974684044
20240328,1.11040511662043
20240329,1.1063800610732388
20240401,1.1085351287265917
20240402,1.1324123669996926
20240403,1.1373698974369766
20240408,1.1324811313145444
20240409,1.1274548280259036
20240410,1.124600066751584
20240411,1.1200945697563556
20240412,1.122458573379801
20240415,1.1182436274758123
20240416,1.1461481714240866
20240417,1.1434376788440572
20240418,1.1516781263836715
20240419,1.154780027442457
20240422,1.1562771558626184
20240423,1.1458834518044427
20240424,1.1387121554430617
20240425,1.1349334826660045
20240426,1.1328294690640839
20240429,1.129747653573872
20240430,1.1369640499446751
20240506,1.1421167201131768
20240507,1.1431306920677613
20240508,1.138086134519291
20240509,1.1312188700121502
20240510,1.1395209979501193
20240513,1.1276170961230378
20240514,1.1302616954585643
20240515,1.114645215738916
20240516,1.115109957055302
20240517,1.1233315311904815
20240520,1.1428146352127426
20240521,1.1361620072932215
20240522,1.1301839605474377
20240523,1.130637881125277
20240524,1.1176605724527682
20240527,1.1276510676435603
20240528,1.1321779622451775
20240529,1.1370201024503772
20240530,1.1429946922982552
20240531,1.1320373427192654
20240603,1.1313551058742974
20240604,1.1293577835407131
20240605,1.1328177441798695
20240606,1.1282324575333604
20240607,1.1267692085388512
20240611,1.1218990271392248
20240612,1.1067205546287733
20240613,1.1088237905403489
20240614,1.1049722385553042
20240617,1.0970367767155031
20240618,1.0974513856258923
20240619,1.1052013561680447
20240620,1.1084769854340395
20240621,1.1071921110191554
20240624,1.1004662337129991
20240625,1.1049397539129553
20240626,1.1009952747482088
20240627,1.1018122769882837
