,nav
20240102,1.0
20240103,0.9975025996100157
20240104,0.9886403873850452
20240105,0.9818308300652859
20240108,0.965652909072242
20240109,0.9658301063532188
20240110,0.9609521814749415
20240111,0.9741638321237689
20240112,0.9661248376023618
20240115,0.9545213879513438
20240116,0.958772253199085
20240117,0.9388830961891278
20240118,0.942657124562194
20240119,0.9390539119675622
20240122,0.909142135285824
20240123,0.9250642153560756
20240124,0.9330421548181719
20240125,0.9558977679892399
20240126,0.9382692925046888
20240129,0.9150935735261767
20240130,0.8852039617882166
20240131,0.8597693071768483
20240201,0.8668144286301565
20240202,0.8396282668119698
20240205,0.8027889029648496
20240206,0.8661216398892205
20240207,0.9172377075016468
20240208,0.9529190838341998
20240219,0.957514154993165
20240220,0.954754886732929
20240221,0.9672504323796488
20240222,0.9779608935105669
20240223,0.9869533404055987
20240226,0.9957068269857248
20240227,1.0170632471714514
20240228,0.9809150920512395
20240229,1.0086815597440386
20240301,1.0335020863086737
20240304,1.026482953512232
20240305,1.0172529205890648
20240306,1.0083859337654268
20240307,0.9888895976687021
20240308,0.9978055245629828
20240311,1.0247682258490531
20240312,1.0241431170644006
20240313,1.0181726701364593
20240314,1.0123863946489517
20240315,1.017005103906278
20240318,1.0336211379557059
20240319,1.0281987615706325
20240320,1.0296856397502456
20240321,1.0238024281528564
20240322,1.0051796677275227
20240325,1.0076639695870968
20240326,1.0080721745247407
20240327,0.9861246289842778
20240328,0.9863182043121322
20240329,0.9913554301333869
20240401,1.0206296610536916
20240402,1.0158863865319931
20240403,1.017436020072265
20240408,1.0086545304301524
20240409,1.00812155731033
20240410,1.0060741634934272
20240411,1.0178493564080693
20240412,1.0127337473592093
20240415,1.028906089564438
20240416,1.0077711233712012
20240417,1.0294893960760025
20240418,1.029424743934277
20240419,1.0227262766928886
20240422,1.014517058246541
20240423,1.0026977325574769
20240424,1.0171266539257031
20240425,1.0109496443220782
20240426,1.0094057218027062
20240429,1.0259504902907268
20240430,1.0267976171934148
20240506,1.0451441301364979
20240507,1.0388043903869002
20240508,1.0270956101893036
20240509,1.0422508166508135
20240510,1.0388658992286115
20240513,1.0364060729305895
20240514,1.0309244179383117
20240515,1.0261527838209152
20240516,1.020652912319326
20240517,1.0376722987623008
20240520,1.0317425200759198
20240521,1.0256546201683925
20240522,1.0295965186157647
20240523,1.01161966199565
20240524,1.0211106778597354
20240527,1.0301693589205245
20240528,1.0278510658918518
20240529,1.027826911518241
20240530,1.0220153726154861
20240531,1.0269956540893874
20240603,1.0310974748800188
20240604,1.0356934889505585
20240605,1.0306912972721944
20240606,1.0305210270632374
20240607,1.0290774728937868
20240611,1.0296779396190554
20240612,1.0352597207104193
20240613,1.0307342900236818
20240614,1.0274672746999545
20240617,1.0331400238066937
20240618,1.051959187647022
20240619,1.0381860973289256
20240620,1.0298437533564597
20240621,1.0255225286734106
20240624,1.013261176212369
20240625,1.0078916008346541
20240626,1.0230115871480927
20240627,1.008833363669549
20240628,1.0286695491054425
20240701,1.0232370418196128
20240702,1.0114482235630275
20240703,1.0058336743468839
