,nav
20240102,1.0
20240103,1.0015467506477727
20240104,0.9929105109572042
20240105,0.9876017306634918
20240108,0.9696108634524873
20240109,0.9661261677328438
20240110,0.9565767606209714
20240111,0.965601275534746
20240112,0.9516242490458101
20240115,0.9343513715561392
20240116,0.9367583886214151
20240117,0.9149044808009063
20240118,0.9193912074858421
20240119,0.9133214707072062
20240122,0.8929175165955182
20240123,0.9005323634218575
20240124,0.9136101214108697
20240125,0.937603832616979
20240126,0.927523874944295
20240129,0.910843569293022
20240130,0.879326645598969
20240131,0.8556902358805656
20240201,0.8602994060129047
20240202,0.8271238373989439
20240205,0.7919215103854609
20240206,0.8565240341739059
20240207,0.9061754598485084
20240208,0.9454079805008562
20240219,0.9478625721219516
20240220,0.9518547288268848
20240221,0.9625519940280328
20240222,0.9764222570681637
20240223,0.9860055144328819
20240226,0.9893850297703753
20240227,1.0060505831347717
20240228,0.9687372124776316
20240229,0.9992426102640162
20240301,1.0163692946929435
20240304,1.0086872479845004
20240305,0.9999013036992269
20240306,0.9963181429810875
20240307,0.9786231730274615
20240308,0.9871994160583342
20240311,1.008083779589525
20240312,1.010773054204452
20240313,1.0109141257819896
20240314,0.994432082999409
20240315,0.9985489990921763
20240318,1.0132142905049721
20240319,1.0105116532869587
20240320,1.0108790760070647
20240321,0.9989517659611601
20240322,0.9813792941477605
20240325,0.9736870095668654
20240326,0.9765239787501966
20240327,0.9465694123819184
20240328,0.9491978227531496
20240329,0.9516105382331198
20240401,0.9763635488296241
20240402,0.9660191618595338
20240403,0.9664754792336959
20240408,0.9444363154462131
20240409,0.949844149941134
20240410,0.9443382359582642
20240411,0.9467390708142827
20240412,0.9334856805470527
20240415,0.9428839109540312
20240416,0.9168827430562244
20240417,0.9380288897968975
20240418,0.9407108569118705
20240419,0.9283397155910799
20240422,0.9305850766739153
20240423,0.9224159762914991
20240424,0.9307659562920463
20240425,0.9221557066887982
20240426,0.9340996745734305
20240429,0.9547026364079882
20240430,0.9482983212501669
20240506,0.9657189395721313
20240507,0.9668494662844889
20240508,0.9611295710392269
20240509,0.9721270813665478
20240510,0.966811442945957
20240513,0.9591960368664253
20240514,0.9500094173418001
20240515,0.9466824470508556
20240516,0.947045589155794
20240517,0.9646908645688091
20240520,0.9585785936380743
20240521,0.9487758607605491
20240522,0.9497476942929649
20240523,0.932307306555485
20240524,0.9395243790340164
20240527,0.9443494651539541
20240528,0.9411322858784961
20240529,0.9474384362240366
20240530,0.942746433458663
20240531,0.9481959560320451
20240603,0.9287086124417928
20240604,0.9364502426309202
20240605,0.9316083841275897
20240606,0.9261844275351266
20240607,0.921566014180575
20240611,0.9297304913403066
20240612,0.9299298680432557
20240613,0.9311903908810996
20240614,0.9305251710469647
20240617,0.9341883962307022
20240618,0.9503462310153754
20240619,0.9368945166103505
20240620,0.9279199885586884
20240621,0.9211585111708923
20240624,0.9040820506941866
20240625,0.9002446597992821
20240626,0.9214613002437796
20240627,0.9023645021658189
20240628,0.9192232910100859
20240701,0.9276742165560898
20240702,0.9209211144890547
20240703,0.9121972771884778
20240704,0.9029075204201863
20240705,0.8993382327974735
20240708,0.8917460583213306
20240709,0.9067862013733018
20240710,0.9045833809587853
20240711,0.9228900115353315
20240712,0.9213950178216429
20240715,0.9281436016581287
20240716,0.9234853562650296
20240717,0.9165100658804901
20240718,0.9205328053667364
20240719,0.9168997332698039
20240722,0.9114651668536102
20240723,0.8843903887028935
20240724,0.8777005767240375
20240725,0.8663422483064112
20240726,0.8806642279798995
20240729,0.8807658348134637
20240730,0.8683910105391284
20240731,0.9031134617921069
20240801,0.8954354268119662
20240802,0.8785482038246994
20240805,0.8519932749808279
20240806,0.8623600384347231
20240807,0.8660601860791288
20240808,0.8648640049516196
20240809,0.8641325581581784
20240812,0.8633809967576851
20240813,0.8689681661833366
20240814,0.8561227708872867
20240815,0.8574244660323299
20240816,0.855387073787236
20240819,0.858063811810319
20240820,0.8429508176011818
20240821,0.8355304491343247
20240822,0.8219437968576897
20240823,0.8207156143097348
20240826,0.8220132769021896
20240827,0.8228830431219096
20240828,0.8261774625791247
20240829,0.8379212816901557
20240830,0.8537140488664982
20240902,0.8501414825461444
20240903,0.854174626927913
20240904,0.8569179340871373
20240905,0.8573942461673587
20240906,0.8510422698328953
20240909,0.8439202558279767
20240910,0.8448497320366405
20240911,0.8362722739858309
20240912,0.8348916767533155
20240913,0.8418502555676148
20240918,0.8446544677505361
20240919,0.8519826955340916
20240920,0.8512029477434957
20240923,0.8477898052884557
20240924,0.8823042546085617
20240925,0.8865969734448204
20240926,0.9221411589641267
20240927,0.9627313209209405
20240930,1.0640171484998355
20241008,1.139760853560131
20241009,1.0481850787633835
20241010,1.0444876778217687
20241011,0.994580120179396
20241014,1.0298169786924585
20241015,1.0117705379451494
20241016,1.0121653236238166
20241017,1.0225067622913642
20241018,1.0767718949457241
20241021,1.0711496138946668
20241022,1.0753762905604929
20241023,1.0808166099956107
20241024,1.0719309754240631
20241025,1.0958870313326758
20241028,1.1072261807023758
20241029,1.0915626444878912
20241030,1.0840553931761714
20241031,1.1000190755007753
20241101,1.079309631406856
20241104,1.1016618027159188
20241105,1.135379291215849
20241106,1.1353820266331527
20241107,1.1620989820617007
20241108,1.1579279611946989
20241111,1.1980912719413856
20241112,1.1993788456112457
20241113,1.1967406553944604
20241114,1.1608513718875375
20241115,1.1425727631307498
20241118,1.1247624389933666
20241119,1.146764748580747
20241120,1.1789365311222064
20241121,1.168045611401525
20241122,1.1132267712957553
20241125,1.1143201995598802
20241126,1.1024745292722022
20241127,1.1322733089748598
20241128,1.1126638132616056
20241129,1.1301652250246914
20241202,1.1522480278459053
20241203,1.151676695690958
20241204,1.1400110755899076
20241205,1.1470372600734
20241206,1.1679360994520531
20241209,1.1704996623326345
20241210,1.180507954510469
20241211,1.1878463982882814
20241212,1.2048763238347293
20241213,1.180748939354144
20241216,1.1587567819426228
20241217,1.1387146899684515
20241218,1.1541318029742242
20241219,1.1462452280414452
20241220,1.140862253982874
20241223,1.1235882912632436
20241224,1.1359942749010459
20241225,1.1179547712673918
20241226,1.12407419517209
20241227,1.1247674396495606
20241230,1.12327859322183
20241231,1.1014820828033147
20250102,1.068027897604318
20250103,1.0441085905197318
20250106,1.0477548898096545
20250107,1.0530933902084005
20250108,1.0413944112550482
20250109,1.0462195246867634
20250110,1.0290207682800188
20250113,1.0276460080052185
20250114,1.0653268137462948
20250115,1.0557705150826915
20250116,1.0563709733081215
20250117,1.0593424033594303
20250120,1.0579653645508102
20250121,1.0578163527499818
20250122,1.0467717379702939
20250123,1.0543309399428626
20250124,1.0720194229646254
20250127,1.0607986496887625
20250205,1.0656997768885281
20250206,1.0882694371214103
20250207,1.093142779601423
20250210,1.0969292851700736
20250211,1.106125166005754
20250212,1.119321827024806
20250213,1.1140129206409382
20250214,1.1164321759870912
20250217,1.1065404395246168
20250218,1.091410061448749
20250219,1.1108143223886189
20250220,1.107263903555316
20250221,1.12905132158374
20250224,1.1333243003170868
20250225,1.1288785946382145
20250226,1.1506017572079175
