,nav
20240102,1.0
20240103,1.0011015619580867
20240104,0.9952325730508468
20240105,0.9834578370086939
20240108,0.9682303260312751
20240109,0.9693366908723019
20240110,0.9640961972585237
20240111,0.966676799889194
20240112,0.9639997245338404
20240115,0.9606183630419929
20240116,0.9659238127161425
20240117,0.9397927022039502
20240118,0.9439177277337186
20240119,0.9410116260542951
20240122,0.9215457820953162
20240123,0.9341861582417011
20240124,0.9579807821685986
20240125,0.9773238035553281
20240126,0.9781502835981274
20240129,0.9677687780080365
20240130,0.9543872069292246
20240131,0.9395089663381951
20240201,0.9454642392900439
20240202,0.9258206557331916
20240205,0.9130562239112685
20240206,0.9506377615565822
20240207,0.9819879049596918
20240208,0.9897696007092159
20240219,1.0138173588181707
20240220,1.0214693939788633
20240221,1.0261951422349558
20240222,1.0313011984368718
20240223,1.0319707349317235
20240226,1.0356330395734148
20240227,1.0540024647335264
20240228,1.032624762529652
20240229,1.053775149293007
20240301,1.0656400586637185
20240304,1.0617900010173262
20240305,1.0647239186578306
20240306,1.0621620148465758
20240307,1.0467500045078613
20240308,1.0499978383710011
20240311,1.0606346009819894
20240312,1.0612933864222467
20240313,1.0550725828043364
20240314,1.0439070507963875
20240315,1.0472540755411086
20240318,1.0536953837190848
20240319,1.0454979966594458
20240320,1.0440366303500723
20240321,1.0301118053657952
20240322,1.017856750999644
20240325,1.0119071386432557
20240326,1.008141454473057
20240327,0.9922313166303155
20240328,0.9889773876248761
20240329,0.9975502475308776
20240401,1.0208267937494016
20240402,1.013528756284286
20240403,1.0120466216494155
20240408,1.0013822535330361
20240409,1.0085558161457329
20240410,1.0001310637105798
20240411,1.0042943701824343
20240412,1.0023498466218144
20240415,1.0065365184735198
20240416,0.9772289430771773
20240417,1.0069632611294264
20240418,1.0102081429628569
20240419,1.00249045850112
20240422,0.9772907089731436
20240423,0.9663039911369551
20240424,0.9699060746554324
20240425,0.9593070274470296
20240426,0.9807194420838026
20240429,1.0152178719981313
20240430,1.0162484253329402
20240506,1.0281986747886949
20240507,1.0279204355326632
20240508,1.0150871133884136
20240509,1.0269533816795757
20240510,1.0228793551608897
20240513,1.0307405950039137
20240514,1.026633924321285
20240515,1.0255032311041965
20240516,1.0268873577542508
20240517,1.032394247106349
20240520,1.0331027834922268
20240521,1.0225574623438212
20240522,1.0391335745015444
20240523,1.0217902451964307
20240524,1.0153975039271506
20240527,1.022480730695303
20240528,1.0161441826246849
20240529,1.015276665932681
20240530,1.0201935049010047
20240531,1.0252650069009837
20240603,1.0147886191824473
20240604,1.0264552976467805
20240605,1.0139895662929594
20240606,1.0058733015104095
20240607,1.0063660415557374
20240611,1.0091450020860393
20240612,1.0072294225173761
20240613,1.0008287991134814
20240614,1.0006165968194412
20240617,1.0131576731765555
20240618,1.0139885271045443
20240619,1.0078712562559837
20240620,1.0034312121498987
20240621,0.9982800485571177
20240624,0.9797241075181069
20240625,0.9774439057861322
20240626,0.9880325155819327
20240627,0.9683642322022149
20240628,0.9751655410733983
20240701,0.9743027885664327
20240702,0.9552816395067473
20240703,0.9426509808832583
20240704,0.9314530171009875
20240705,0.9385978276707003
20240708,0.9213288765682638
20240709,0.9396864734326436
20240710,0.941803806652314
20240711,0.9505727695761212
20240712,0.9540060733300103
20240715,0.9464035049111577
20240716,0.9394214357570527
20240717,0.9323094352458134
20240718,0.9413201224420521
20240719,0.9387082818462322
20240722,0.9351433016011201
20240723,0.9083234992779453
20240724,0.900972017811906
20240725,0.8950978307013975
20240726,0.9109152903764729
20240729,0.9068125840848801
20240730,0.8933922581841893
20240731,0.9305815117397223
20240801,0.9220168781185276
20240802,0.910954990191002
20240805,0.8921763782586914
20240806,0.8938376563930607
20240807,0.8998138579547318
20240808,0.9018748119328679
20240809,0.8965492251826681
20240812,0.89342148441388
20240813,0.8965803984676877
20240814,0.8841379015988525
20240815,0.8884324707340205
20240816,0.8952853009529885
20240819,0.8952159461418722
20240820,0.8832711825541892
20240821,0.8751280195053238
20240822,0.8743793179597941
20240823,0.8745927860092289
20240826,0.8833456290550443
20240827,0.8740498011562143
20240828,0.8710276404818013
20240829,0.8766828413557906
20240830,0.8869303015360459
20240902,0.8740129425232087
20240903,0.8858450203293031
20240904,0.8839999246918816
20240905,0.8822912325347313
20240906,0.8741339070010519
20240909,0.8593222271867229
20240910,0.8613898318308131
20240911,0.8695334741148922
20240912,0.8645370775190746
20240913,0.8576162967889374
20240918,0.8598438965792793
20240919,0.8675481162731772
20240920,0.8677902716798452
20240923,0.8681913394575498
20240924,0.9051647707316341
20240925,0.9147827096523131
20240926,0.9309955788525044
20240927,0.9729033253787297
20240930,1.0676506732968234
20241008,1.1412881463130389
20241009,1.0881034271630357
20241010,1.0944443084251019
20241011,1.0536618031624845
20241014,1.080239201087837
20241015,1.0649651079387596
20241016,1.0550559295677482
20241017,1.0533798538931924
20241018,1.0902342568365246
20241021,1.0895831571915073
20241022,1.0914959020210167
20241023,1.09099692164487
20241024,1.0830259906539115
20241025,1.1027152463477834
20241028,1.1151750673521261
20241029,1.105465041195259
20241030,1.0935086138126835
20241031,1.0895513110644797
20241101,1.0817757847695444
20241104,1.0990905869718663
20241105,1.1213394064615532
20241106,1.1059687850459154
20241107,1.1225085719308887
20241108,1.1144268142318117
20241111,1.1353345541869968
20241112,1.1144701978918068
20241113,1.1171422410929712
20241114,1.0934076444872873
20241115,1.0815763810220937
20241118,1.0752105212643148
20241119,1.0876829942297148
20241120,1.0952294780418141
20241121,1.0917002949625187
20241122,1.059606196483902
20241125,1.0638436782510858
20241126,1.0609293128974258
20241127,1.0833372761144695
20241128,1.0746967994918242
20241129,1.0887339410186851
20241202,1.1065265806810995
20241203,1.1113707288503765
20241204,1.0978924131967782
20241205,1.1001935745381204
20241206,1.1166132270871436
20241209,1.1082063235188657
20241210,1.1254041945574786
20241211,1.138684153785848
20241212,1.1499328107289717
20241213,1.1344176397996475
20241216,1.1268278389314328
20241217,1.1147122273214445
20241218,1.1294766297275054
20241219,1.131344799436366
20241220,1.1331466153899084
20241223,1.1283797769251924
20241224,1.1411937727223342
20241225,1.1376127659028725
20241226,1.1339451902695157
20241227,1.1376679608694897
20241230,1.131824728973175
20241231,1.1190468765183972
20250102,1.0974623628494071
20250103,1.0807050911595277
20250106,1.0803526818538272
20250107,1.0774584319649425
20250108,1.0745705355704507
20250109,1.0698696361168094
20250110,1.0530948462040945
20250113,1.0570717293971015
20250114,1.0782417051122843
20250115,1.0675633183470605
20250116,1.0731838579216484
20250117,1.0891258456861326
20250120,1.0918765985952439
20250121,1.0918879611539891
20250122,1.0884477015864717
20250123,1.0894668468363151
20250124,1.094955143769144
20250127,1.0929165218481784
20250205,1.079948051452869
20250206,1.09329318711525
20250207,1.1065922881815926
20250210,1.1053113605158031
20250211,1.110789419858929
20250212,1.1185103217807653
20250213,1.1110325391944567
20250214,1.1080398823185642
20250217,1.1096229177380907
20250218,1.0862656083241296
20250219,1.0939470136088731
20250220,1.0984597330662527
20250221,1.0976153917219358
20250224,1.1000900023114117
20250225,1.0958450493870822
20250226,1.119185584435157
20250227,1.1254155750580344
20250228,1.1108701262791343
20250303,1.111682606316645
20250304,1.1183601588173329
20250305,1.115933161878645
20250306,1.1175608305319338
20250307,1.096992830466435
20250310,1.1059593835950912
20250311,1.1078441578720475
20250312,1.0973727562265172
20250313,1.0791471444550493
20250314,1.094241835688537
20250317,1.1041588295988114
20250318,1.1024189876410782
20250319,1.100925889841632
20250320,1.0937412123605688
20250321,1.0711959195667111
20250324,1.0675789442934653
20250325,1.0644782482716912
20250326,1.0663894880423865
20250327,1.0685430660334463
20250328,1.0549334951191354
20250331,1.0425717070714617
20250401,1.0565200593745223
20250402,1.0522235412492569
20250403,1.0460453816471653
20250407,0.939416016238929
20250408,0.9650936429818077
20250409,0.9836861980667164
20250410,1.0083616533639466
20250411,1.003760176197958
20250414,1.0158676233068846
20250415,1.017254993978451
20250416,1.0110459149921318
20250417,1.0119419485780499
20250418,1.0182788616678244
20250421,1.0276157227604161
20250422,1.0352439012148313
20250423,1.0366350688615986
20250424,1.0408782045557445
20250425,1.0409610437199988
